Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
8301,54,1,49,0,2,2,4,0,4,0,0,0,4,0,3,0,0,1
8302,63,0,56,2,3,2,8,0,8,0,0,0,1,0,1,0,0,0
8400,69,0,63,0,3,3,7,0,6,0,0,1,3,0,3,0,0,0
8500,117,6,101,0,4,6,14,1,12,0,0,1,9,0,8,0,0,1
8601,53,19,22,5,3,4,3,0,2,0,1,0,0,0,0,0,0,0
8602,49,3,38,1,4,3,8,1,4,0,3,0,0,0,0,0,0,0
8701,46,11,5,21,3,6,1,0,0,0,0,1,1,0,1,0,0,0
8702,25,5,6,12,1,1,1,0,0,1,0,0,2,0,1,0,1,0
8802,17,0,8,9,0,0,2,0,2,0,0,0,2,0,2,0,0,0
9000,6,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
9100,33,5,22,2,3,1,2,0,2,0,0,0,2,0,1,0,1,0
9200,61,2,53,2,1,3,6,0,6,0,0,0,1,0,1,0,0,0
9300,62,3,54,0,3,2,6,0,6,0,0,0,0,0,0,0,0,0
9400,82,1,75,0,4,2,7,0,7,0,0,0,6,0,5,0,1,0
9500,74,0,64,0,3,7,10,0,9,0,1,0,2,0,2,0,0,0
9600,83,1,74,1,5,2,7,0,7,0,0,0,4,0,2,0,2,0
9801,27,2,24,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
9802,77,3,69,0,2,3,5,0,5,0,0,0,2,0,2,0,0,0
10000,61,0,51,2,2,6,10,0,7,0,0,3,0,0,0,0,0,0
10100,87,1,76,1,4,5,9,0,8,0,0,1,4,0,3,0,0,1
10200,47,1,44,0,0,2,6,0,5,0,0,1,2,0,2,0,0,0
10300,57,0,53,0,3,1,11,0,11,0,0,0,2,0,2,0,0,0
10400,57,1,52,0,1,3,11,0,11,0,0,0,2,0,2,0,0,0
10500,55,1,50,0,1,3,4,0,4,0,0,0,2,0,2,0,0,0
10600,18,1,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10700,82,4,70,1,5,2,18,2,15,0,1,0,2,0,2,0,0,0
10800,83,3,70,0,7,3,9,0,8,0,0,1,3,0,3,0,0,0
10900,37,2,32,0,1,2,9,0,7,0,0,2,2,0,2,0,0,0
11000,67,1,62,0,0,4,5,0,5,0,0,0,3,0,3,0,0,0
11100,66,0,60,0,4,2,15,0,15,0,0,0,1,0,1,0,0,0
11200,80,1,71,0,2,6,7,0,7,0,0,0,4,0,4,0,0,0
11300,38,0,35,0,2,1,4,0,4,0,0,0,2,0,2,0,0,0
11400,94,4,82,0,6,2,10,0,6,0,4,0,2,0,1,0,1,0
11500,49,1,39,0,1,8,6,0,5,0,0,1,0,0,0,0,0,0
11700,8,0,8,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
11800,68,3,57,4,2,2,6,0,5,0,0,1,2,0,2,0,0,0
11900,58,1,55,0,0,2,7,1,6,0,0,0,2,0,2,0,0,0
12000,14,0,8,2,1,3,1,0,0,0,1,0,0,0,0,0,0,0
12100,30,4,14,6,1,5,3,0,2,1,0,0,0,0,0,0,0,0
12201,31,4,14,4,1,8,2,0,1,0,0,1,0,0,0,0,0,0
12203,20,1,6,3,1,9,1,0,0,0,0,1,0,0,0,0,0,0
12204,30,2,17,6,2,3,3,0,3,0,0,0,1,0,1,0,0,0
12500,45,25,1,13,2,4,5,2,0,2,1,0,0,0,0,0,0,0
13100,8,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13200,40,1,31,2,3,3,2,0,2,0,0,0,2,0,2,0,0,0
13300,31,11,17,2,0,1,2,0,2,0,0,0,1,0,1,0,0,0
13401,15,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13402,27,14,5,2,5,1,4,2,2,0,0,0,0,0,0,0,0,0
13500,47,20,16,2,4,5,4,1,3,0,0,0,1,0,1,0,0,0
13601,50,43,1,4,0,2,4,3,0,1,0,0,0,0,0,0,0,0
13602,69,62,2,4,1,0,7,5,1,1,0,0,0,0,0,0,0,0
13700,83,18,55,2,7,1,6,0,6,0,0,0,2,0,2,0,0,0
13800,33,3,29,0,1,0,5,1,4,0,0,0,4,0,4,0,0,0
13900,58,3,48,0,2,5,11,0,8,0,1,2,0,0,0,0,0,0
14000,42,4,28,1,5,4,5,1,4,0,0,0,0,0,0,0,0,0
14100,33,2,24,2,1,4,2,0,2,0,0,0,0,0,0,0,0,0
14200,57,32,12,3,5,5,6,4,0,0,1,1,1,0,0,0,1,0
14300,19,12,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14400,62,17,11,2,26,6,4,0,1,0,3,0,1,0,0,0,1,0
14500,25,1,15,1,5,3,3,1,1,0,1,0,0,0,0,0,0,0
14600,20,1,13,0,5,1,2,0,1,0,1,0,0,0,0,0,0,0
14700,34,0,29,0,2,3,4,0,3,0,1,0,0,0,0,0,0,0
14800,19,0,17,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0
14900,97,1,83,1,4,8,12,0,9,1,1,1,5,1,4,0,0,0
15101,37,0,32,0,3,2,3,0,3,0,0,0,1,0,1,0,0,0
15102,80,1,70,0,4,5,14,0,14,0,0,0,9,0,8,0,0,1
15200,136,2,120,0,3,11,18,0,17,0,0,1,6,0,5,0,0,1
15300,44,1,38,2,1,2,8,0,8,0,0,0,2,0,1,0,1,0
15600,30,3,10,0,16,1,6,0,5,0,1,0,1,0,1,0,0,0
15700,45,11,3,0,28,3,4,1,1,0,2,0,1,0,1,0,0,0
15800,67,58,0,1,2,6,4,4,0,0,0,0,1,1,0,0,0,0
16000,107,89,4,4,5,5,7,6,0,0,1,0,2,2,0,0,0,0
16100,98,43,10,13,25,7,7,5,2,0,0,0,3,1,1,0,1,0
16200,44,3,6,2,33,0,4,0,1,0,3,0,0,0,0,0,0,0
16300,66,9,9,3,43,2,7,2,1,0,3,1,0,0,0,0,0,0
16400,94,3,32,0,57,2,7,1,2,0,4,0,9,0,5,0,4,0
16500,43,0,37,0,3,3,10,0,8,0,1,1,3,0,3,0,0,0
16600,20,0,16,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0
16701,62,1,57,0,2,2,7,0,5,0,2,0,3,0,3,0,0,0
16702,59,2,54,0,0,3,13,1,12,0,0,0,3,0,3,0,0,0
16800,71,0,67,0,2,2,5,0,4,0,1,0,6,0,6,0,0,0
16901,61,0,50,1,4,6,4,0,4,0,0,0,8,0,6,0,1,1
16902,120,0,110,0,5,5,17,0,14,0,1,2,8,0,7,0,1,0
17000,48,8,35,1,4,0,6,0,6,0,0,0,3,0,2,1,0,0
17100,53,2,46,0,3,2,2,0,2,0,0,0,0,0,0,0,0,0
17201,56,0,52,0,1,3,10,0,9,0,1,0,0,0,0,0,0,0
17202,84,0,80,1,2,1,17,0,16,0,0,1,6,0,6,0,0,0
17300,60,1,52,1,4,2,10,0,9,0,1,0,3,0,3,0,0,0
17400,50,1,43,0,6,0,7,0,7,0,0,0,4,0,4,0,0,0
17500,154,3,39,0,108,4,21,0,7,0,14,0,8,0,0,0,7,1
17601,112,3,8,0,98,3,18,0,1,0,17,0,13,0,0,0,13,0
17602,110,2,14,1,92,1,13,0,2,0,11,0,5,0,2,0,3,0
17701,95,10,26,0,55,4,11,2,3,0,5,1,6,0,0,0,6,0
17702,133,10,31,1,89,2,15,1,6,0,8,0,6,0,1,0,5,0
17800,160,27,49,0,80,4,18,4,5,0,7,2,14,1,2,0,10,1
17900,131,40,35,3,47,6,12,3,4,1,3,1,11,1,5,0,5,0
18001,54,43,2,3,4,2,6,5,1,0,0,0,1,0,0,0,1,0
18002,75,63,3,2,4,3,12,9,0,1,0,2,3,2,0,0,1,0
18300,41,39,1,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0
18400,39,32,0,2,3,2,2,2,0,0,0,0,1,1,0,0,0,0
18800,183,32,49,2,97,3,20,3,9,0,8,0,10,1,3,0,6,0
19000,150,15,24,10,96,5,17,1,5,0,10,1,7,0,1,1,5,0
19100,142,9,9,20,97,7,12,0,2,2,8,0,5,0,0,0,5,0
19200,184,14,43,4,119,4,20,3,5,0,12,0,13,0,3,0,10,0
19501,92,6,17,0,68,1,8,0,1,0,6,1,5,0,1,0,3,1
19502,94,2,11,0,78,3,8,0,1,0,7,0,9,0,0,0,9,0
19700,150,4,47,2,90,7,24,1,11,1,11,0,9,0,3,0,6,0
19800,124,4,35,1,78,6,14,0,4,1,9,0,6,0,2,0,3,1
19900,120,2,43,1,72,2,14,1,5,0,7,1,6,0,2,0,3,1
20000,21,0,17,1,2,1,5,0,4,0,0,1,2,0,0,0,1,1
20101,79,0,71,0,3,5,10,0,10,0,0,0,7,0,7,0,0,0
20102,50,1,45,0,2,2,7,0,7,0,0,0,2,0,1,0,1,0
20200,96,3,86,0,3,4,12,0,11,0,0,1,5,0,5,0,0,0
20300,55,0,46,1,6,2,6,0,5,0,0,1,3,0,2,0,1,0
20400,52,0,44,2,2,4,1,0,1,0,0,0,2,0,2,0,0,0
20500,34,0,30,0,2,2,3,0,3,0,0,0,3,0,2,0,1,0
20600,14,6,5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
20700,104,78,12,10,1,3,3,1,0,1,0,1,0,0,0,0,0,0
20800,15,5,6,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0
20900,47,42,4,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0
21000,47,42,0,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0
21100,44,32,4,2,3,3,4,2,1,0,0,1,1,1,0,0,0,0
21200,41,36,2,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0
21300,54,47,1,1,2,3,4,4,0,0,0,0,1,0,0,0,0,1
21400,21,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21500,59,53,1,1,4,0,5,5,0,0,0,0,0,0,0,0,0,0
21600,34,23,5,3,1,2,3,2,1,0,0,0,0,0,0,0,0,0
21700,76,62,6,7,0,1,7,4,1,2,0,0,0,0,0,0,0,0
21800,57,39,9,5,3,1,4,2,1,1,0,0,1,0,1,0,0,0
21900,16,14,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
22000,12,9,2,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0
23100,15,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23500,13,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23600,28,15,7,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0
23700,59,20,29,1,5,4,5,1,4,0,0,0,6,1,3,0,1,1
23800,53,18,29,0,4,2,5,0,5,0,0,0,0,0,0,0,0,0
23900,12,3,7,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
24000,44,5,33,3,0,3,1,0,1,0,0,0,1,0,1,0,0,0
24100,12,2,9,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
24200,77,7,63,2,3,2,5,1,3,0,1,0,5,0,5,0,0,0
24300,65,1,59,0,1,4,4,0,3,0,0,1,2,0,1,0,0,1
24400,55,4,48,0,2,1,11,0,11,0,0,0,2,0,2,0,0,0
24500,100,1,91,0,4,4,15,0,15,0,0,0,8,0,8,0,0,0
24600,62,2,53,0,2,5,14,1,11,0,0,2,5,0,5,0,0,0
24700,69,2,59,0,6,2,9,0,7,0,1,1,4,0,3,0,0,1
24800,31,2,28,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
24900,58,0,52,0,2,4,5,0,4,0,1,0,6,0,6,0,0,0
25200,108,5,89,1,8,5,19,0,15,0,4,0,6,1,4,0,1,0
25300,50,1,39,0,1,9,6,0,5,0,0,1,2,0,2,0,0,0
25400,43,7,34,0,2,0,4,0,3,0,1,0,0,0,0,0,0,0
25500,22,5,11,1,3,2,3,0,2,0,0,1,0,0,0,0,0,0
25600,35,8,15,6,4,2,3,0,3,0,0,0,0,0,0,0,0,0
25700,64,43,10,4,4,3,13,9,3,0,1,0,0,0,0,0,0,0
25800,19,1,15,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
25900,58,0,49,3,1,5,10,0,7,1,0,2,0,0,0,0,0,0
26000,39,0,35,0,3,1,5,0,4,0,1,0,1,0,1,0,0,0
26100,33,1,25,1,3,3,7,0,6,0,0,1,0,0,0,0,0,0
26200,33,0,26,0,5,2,4,0,4,0,0,0,2,0,2,0,0,0
26301,47,1,44,1,0,1,5,0,5,0,0,0,1,0,1,0,0,0
