Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
36600,22,14,2,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0
36700,54,30,12,4,5,3,2,0,0,0,1,1,0,0,0,0,0,0
36900,20,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37200,54,27,4,12,7,4,4,1,1,1,0,1,1,0,0,0,0,1
37300,36,22,5,6,1,2,3,1,0,1,0,1,0,0,0,0,0,0
37500,40,11,19,6,0,4,5,0,3,1,0,1,0,0,0,0,0,0
37600,46,9,9,13,10,5,4,0,0,4,0,0,0,0,0,0,0,0
37700,50,4,32,0,13,1,6,1,4,0,1,0,4,0,1,0,3,0
37800,33,26,2,1,3,1,4,3,0,0,1,0,3,2,1,0,0,0
37900,66,59,1,0,1,5,4,4,0,0,0,0,1,1,0,0,0,0
38000,33,14,4,1,13,1,3,0,1,0,1,1,1,1,0,0,0,0
38100,21,7,10,0,2,2,3,0,2,0,0,1,2,0,2,0,0,0
38200,54,19,8,0,24,3,6,0,1,0,4,1,4,2,0,0,2,0
38300,63,1,14,2,45,1,9,0,1,0,7,1,0,0,0,0,0,0
38400,20,17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38500,18,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
38600,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38700,22,20,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
38800,64,38,19,1,3,3,2,0,2,0,0,0,0,0,0,0,0,0
38900,60,1,55,0,4,0,9,0,9,0,0,0,2,0,2,0,0,0
39000,138,10,78,2,39,9,12,1,7,0,1,3,3,0,2,0,0,1
980100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980900,3,0,0,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0
999999,14,2,8,0,0,4,4,0,2,0,0,2,0,0,0,0,0,0
