"Resident Birth by Mother's Race/Ethnicity, 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
34802,89,43,32,2,9,3,5,3,2,0,0,0,0,0,0,0,0,0
34803,45,33,5,3,3,1,3,2,1,0,0,0,1,1,0,0,0,0
34900,91,45,17,4,21,4,10,1,3,0,6,0,0,0,0,0,0,0
35100,21,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35200,44,38,3,1,0,2,4,4,0,0,0,0,0,0,0,0,0,0
35301,54,42,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0
35302,63,41,7,4,4,7,3,1,2,0,0,0,0,0,0,0,0,0
35500,67,45,5,8,5,4,4,3,0,0,0,1,0,0,0,0,0,0
35601,31,25,0,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0
35602,33,15,5,8,5,0,4,3,0,0,1,0,0,0,0,0,0,0
35701,84,41,7,16,7,13,7,3,0,2,0,2,1,1,0,0,0,0
35702,71,49,1,9,7,5,2,2,0,0,0,0,0,0,0,0,0,0
35800,53,33,1,6,8,5,2,1,0,1,0,0,1,0,0,0,1,0
35900,45,29,5,5,3,3,4,1,2,1,0,0,2,0,2,0,0,0
36000,21,11,1,8,1,0,2,0,0,1,1,0,0,0,0,0,0,0
36100,56,39,8,0,5,4,7,6,1,0,0,0,1,1,0,0,0,0
36201,64,50,3,2,8,1,3,2,0,0,1,0,0,0,0,0,0,0
36202,64,47,4,4,9,0,6,3,1,0,2,0,0,0,0,0,0,0
36203,55,41,2,1,9,2,4,3,0,0,1,0,0,0,0,0,0,0
36301,41,24,4,7,6,0,4,2,0,2,0,0,0,0,0,0,0,0
36302,49,31,8,2,4,4,5,2,2,0,1,0,1,1,0,0,0,0
36303,67,60,1,0,4,2,5,4,0,0,0,1,0,0,0,0,0,0
36400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36501,59,40,8,5,2,4,3,1,0,1,0,1,1,1,0,0,0,0
36502,47,39,3,2,3,0,2,1,0,0,1,0,0,0,0,0,0,0
36600,21,12,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0
36700,36,27,5,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0
36900,15,4,1,8,2,0,1,0,0,1,0,0,0,0,0,0,0,0
37200,51,27,3,15,2,4,3,2,0,1,0,0,1,0,0,0,0,1
37300,55,39,4,6,4,2,6,3,0,2,1,0,0,0,0,0,0,0
37500,46,15,17,4,1,9,4,1,3,0,0,0,0,0,0,0,0,0
37600,26,4,10,6,5,1,2,0,2,0,0,0,0,0,0,0,0,0
37700,65,2,41,2,17,3,12,1,8,0,1,2,4,0,3,1,0,0
37800,31,25,2,0,1,3,0,0,0,0,0,0,3,3,0,0,0,0
37900,69,58,0,2,2,7,2,2,0,0,0,0,3,2,0,0,0,1
38000,24,17,1,0,4,2,1,1,0,0,0,0,3,1,0,0,1,1
38100,13,7,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
38200,47,25,6,2,14,0,8,6,1,0,1,0,0,0,0,0,0,0
38300,62,2,8,0,44,8,11,0,2,0,7,2,5,0,0,0,5,0
38400,17,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38500,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38600,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38700,23,16,0,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0
38800,47,26,14,2,1,4,6,4,2,0,0,0,2,0,2,0,0,0
38900,41,2,36,0,2,1,4,0,3,0,1,0,1,0,1,0,0,0
39000,150,15,86,2,37,10,16,1,13,1,1,0,7,0,6,0,1,0
980000,10,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980200,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
980500,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980700,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980900,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
989100,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
