"Resident Birth by Mother's Race/Ethnicity, 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
8101,42,1,38,0,1,2,3,0,3,0,0,0,5,0,5,0,0,0
8102,78,1,71,0,2,4,10,0,10,0,0,0,3,0,3,0,0,0
8200,91,3,79,1,5,3,10,0,9,0,0,1,8,0,8,0,0,0
8301,42,1,38,1,0,2,8,1,7,0,0,0,1,0,1,0,0,0
8302,70,1,66,0,1,2,6,0,5,0,0,1,3,0,3,0,0,0
8400,57,1,52,2,1,1,4,0,4,0,0,0,2,0,2,0,0,0
8500,83,1,76,2,1,3,6,0,5,1,0,0,3,0,3,0,0,0
8601,48,13,20,6,4,5,2,0,2,0,0,0,0,0,0,0,0,0
8602,39,6,26,2,1,4,2,0,1,0,0,1,1,0,1,0,0,0
8701,65,22,11,24,2,6,3,0,0,2,0,1,0,0,0,0,0,0
8702,34,14,4,12,2,2,3,2,0,0,0,1,1,0,1,0,0,0
8801,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8802,10,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9000,5,2,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0
9100,21,2,13,4,1,1,3,0,2,0,0,1,0,0,0,0,0,0
9200,59,1,44,7,5,2,15,0,11,0,3,1,2,0,1,0,1,0
9300,60,2,51,0,6,1,8,1,5,0,2,0,0,0,0,0,0,0
9400,58,0,55,0,0,3,6,0,6,0,0,0,3,0,3,0,0,0
9500,60,1,55,0,2,2,14,0,14,0,0,0,1,0,1,0,0,0
9600,80,3,70,4,1,2,13,0,11,0,0,2,1,0,1,0,0,0
9801,29,0,25,0,3,1,7,0,6,0,0,1,0,0,0,0,0,0
9802,78,7,62,1,5,3,6,1,4,0,1,0,2,0,2,0,0,0
10000,64,3,55,1,2,3,9,0,8,0,0,1,2,0,2,0,0,0
10100,94,2,84,0,5,3,11,1,9,0,1,0,2,0,1,0,1,0
10200,34,0,32,0,1,1,6,0,6,0,0,0,1,0,1,0,0,0
10300,47,0,44,0,0,3,12,0,10,0,0,2,0,0,0,0,0,0
10400,75,1,66,0,1,7,12,0,12,0,0,0,3,0,3,0,0,0
10500,56,0,52,0,1,3,12,0,11,0,0,1,1,0,1,0,0,0
10600,28,0,27,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0
10700,50,4,40,0,3,3,7,0,5,0,1,1,1,0,1,0,0,0
10800,67,3,62,0,0,2,12,0,11,0,0,1,4,0,4,0,0,0
10900,34,3,28,0,0,3,6,0,4,0,0,2,0,0,0,0,0,0
11000,66,2,52,0,4,8,9,0,6,0,0,3,2,0,1,0,0,1
11100,71,1,65,1,2,2,9,0,8,0,0,1,2,0,2,0,0,0
11200,95,3,86,0,1,5,14,2,12,0,0,0,3,0,3,0,0,0
11300,39,1,33,0,2,3,5,0,5,0,0,0,1,0,1,0,0,0
11400,73,2,67,0,2,2,5,0,5,0,0,0,3,0,2,0,0,1
11500,56,5,39,2,3,7,5,1,4,0,0,0,2,0,2,0,0,0
11700,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11800,52,1,47,0,2,2,2,0,2,0,0,0,1,0,1,0,0,0
11900,79,3,70,0,1,5,12,0,8,0,0,4,0,0,0,0,0,0
12000,10,2,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12100,39,14,15,2,3,5,4,1,3,0,0,0,1,0,1,0,0,0
12201,20,1,7,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
12203,31,4,5,5,0,17,2,0,0,0,0,2,0,0,0,0,0,0
12204,25,3,17,1,3,1,3,1,2,0,0,0,1,0,1,0,0,0
12500,53,23,1,20,4,5,5,0,0,5,0,0,0,0,0,0,0,0
13100,27,0,23,1,1,2,5,0,5,0,0,0,1,0,1,0,0,0
13200,40,3,24,1,9,3,4,0,4,0,0,0,3,0,1,0,1,1
13300,38,14,14,1,8,1,3,2,1,0,0,0,1,0,0,0,1,0
13401,17,11,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13402,31,19,3,2,4,3,1,0,0,0,1,0,0,0,0,0,0,0
13500,62,31,24,1,4,2,4,0,4,0,0,0,1,0,1,0,0,0
13601,38,30,0,2,3,3,4,2,0,0,2,0,0,0,0,0,0,0
13602,78,60,2,7,5,4,7,1,0,4,0,2,0,0,0,0,0,0
13700,81,17,56,1,3,4,7,0,6,0,1,0,3,0,3,0,0,0
13800,29,4,21,0,3,1,3,0,3,0,0,0,3,0,3,0,0,0
13900,78,6,64,0,6,2,12,2,9,0,1,0,5,1,3,0,1,0
14000,46,2,38,2,1,3,10,0,9,0,0,1,2,0,2,0,0,0
14100,31,2,23,1,2,3,3,0,1,0,1,1,3,1,2,0,0,0
14200,59,42,3,6,6,2,2,1,0,0,1,0,0,0,0,0,0,0
