"Live Birth Events by Mother's Race and Ethnicity, 2008",,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7700,2,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7800,17,20,2,4,3,2,0,1,1,1,1,0,0,0,0,0,0,0
7900,21,14,7,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0
8000,4,43,1,1,1,7,0,2,1,0,0,1,0,1,0,0,0,2
8100,2,126,1,0,6,14,0,22,0,0,2,4,0,8,0,0,1,0
8200,1,102,2,1,3,10,0,17,2,0,0,1,0,13,0,0,0,0
8301,0,45,0,1,1,3,0,2,0,0,0,0,0,2,0,0,0,1
8302,1,53,0,1,3,9,0,4,0,0,0,0,0,5,0,0,0,1
8400,0,64,0,0,3,2,0,13,0,0,0,1,0,5,0,0,0,0
8500,6,86,4,4,3,13,1,10,0,1,3,1,0,8,0,0,0,0
8600,10,59,8,0,6,9,0,6,2,0,1,0,0,5,0,0,0,0
8700,24,8,25,6,6,8,1,0,2,0,0,2,0,0,0,0,0,0
8800,2,5,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8900,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,5,2,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
9100,7,29,7,0,4,1,1,4,0,0,2,0,0,2,0,0,0,0
9200,0,38,1,1,0,5,0,6,0,0,0,0,0,3,0,0,0,0
9300,1,61,0,0,0,9,0,10,0,0,0,2,0,8,0,0,0,0
9400,0,67,0,2,5,9,0,13,0,0,0,0,0,5,0,1,0,1
9500,1,57,0,3,3,3,0,10,0,0,0,1,0,6,0,1,0,0
9600,1,69,0,1,3,11,0,7,0,0,1,1,0,3,0,0,0,3
9700,0,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
9800,3,114,3,2,5,1,1,17,0,0,0,0,0,4,0,0,0,0
9900,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10000,0,69,0,4,3,9,0,10,0,2,0,1,0,5,0,1,0,2
10100,3,84,2,1,1,6,0,14,0,0,0,0,0,1,0,0,0,0
10200,0,50,0,0,1,4,0,12,0,0,0,0,0,2,0,0,0,0
10300,0,45,0,0,2,5,0,3,0,0,0,1,0,5,0,0,0,1
10400,1,50,0,1,1,11,1,12,0,1,0,3,0,6,0,0,0,1
10500,1,44,3,1,1,5,0,5,0,0,1,1,0,1,0,0,0,1
10600,0,13,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
10700,1,66,0,0,3,1,0,6,0,0,1,0,0,4,0,0,1,0
10800,0,55,0,0,1,6,0,8,0,0,0,1,0,1,0,0,0,0
10900,0,34,0,0,1,7,0,6,0,0,0,0,0,2,0,0,0,2
11000,0,58,0,2,4,8,0,7,0,1,1,2,0,3,0,0,0,0
11100,4,76,1,0,4,6,0,8,0,0,0,4,0,7,0,0,0,0
11200,1,80,1,1,5,5,0,9,0,0,1,1,0,11,0,0,0,0
11300,0,38,1,0,3,4,0,3,0,0,1,0,0,3,0,0,0,0
11400,1,75,1,3,3,5,0,10,0,0,0,1,0,9,0,0,0,0
11500,4,47,1,1,2,1,0,4,0,0,0,0,0,1,0,1,0,0
11600,11,24,10,1,2,0,0,4,1,0,1,0,0,0,0,0,0,0
11700,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11800,1,56,1,1,3,4,0,8,0,0,0,1,0,4,0,0,0,1
11900,1,56,2,0,3,3,0,4,0,0,0,0,0,3,0,0,0,1
12000,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12100,0,18,3,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0
12200,8,20,11,5,3,0,2,0,1,1,0,0,0,0,0,0,0,0
12300,2,2,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12500,20,1,16,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0
12600,7,6,5,0,11,2,0,3,0,0,0,0,0,0,0,0,0,0
12700,0,4,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
12800,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12900,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,13,3,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
13100,0,24,1,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0
13200,1,35,0,1,3,3,0,2,0,0,0,0,0,5,0,0,0,0
13300,8,16,3,1,7,0,0,1,0,0,0,0,0,0,0,0,1,0
13400,30,5,4,3,5,3,0,1,1,2,0,0,1,0,0,0,1,0
13500,29,20,2,0,3,2,3,3,0,0,1,0,1,3,0,0,1,0
13600,88,3,9,1,4,2,6,0,1,0,0,0,0,0,0,0,0,0
13700,13,70,0,3,3,5,1,5,0,0,0,0,0,5,0,1,0,0
13800,3,34,0,1,4,0,0,3,0,0,0,0,0,3,0,0,0,0
13900,1,61,0,0,0,4,0,6,0,0,0,0,0,5,0,0,0,0
14000,2,34,0,2,4,1,0,3,0,1,0,0,0,2,0,1,0,0
14100,2,20,0,0,5,6,0,3,0,0,0,2,0,1,0,0,0,0
14200,32,2,2,2,4,0,6,0,0,0,0,0,0,0,0,0,1,0
14300,12,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
14400,12,13,1,1,14,1,2,0,0,0,0,0,0,1,0,0,1,0
14500,2,21,0,0,7,0,0,2,0,0,1,0,0,1,0,0,0,0
14600,1,17,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0
14700,0,32,1,1,2,1,0,9,0,0,0,0,0,0,0,0,0,0
14800,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
14900,2,80,0,0,2,5,1,15,0,0,0,0,0,7,0,0,1,0
15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15100,0,121,0,0,6,8,0,18,0,0,0,0,0,13,0,0,0,0
15200,3,134,1,2,4,5,0,17,0,0,1,0,0,15,0,0,1,0
15300,0,28,0,1,1,1,0,6,0,0,0,0,0,4,0,0,0,0
