Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
36900,24,7,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37200,40,21,6,7,5,1,3,2,1,0,0,0,1,1,0,0,0,0
37300,51,28,13,3,3,4,6,2,3,0,0,1,0,0,0,0,0,0
37500,30,13,11,1,1,4,4,0,0,1,1,2,0,0,0,0,0,0
37600,40,6,14,7,9,4,5,1,2,1,1,0,0,0,0,0,0,0
37700,54,5,33,0,14,2,10,1,4,0,5,0,3,1,2,0,0,0
37800,24,18,2,1,3,0,1,0,1,0,0,0,1,0,0,0,1,0
37900,72,64,2,0,3,3,6,6,0,0,0,0,1,1,0,0,0,0
38000,35,19,5,0,9,2,8,4,2,0,2,0,4,0,3,0,1,0
38100,19,10,5,0,2,2,3,2,1,0,0,0,0,0,0,0,0,0
38200,68,24,12,1,29,2,8,4,3,0,1,0,6,1,0,0,4,1
38300,44,1,11,1,30,1,8,0,4,0,4,0,1,0,0,0,1,0
38400,23,19,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
38500,15,13,0,1,0,1,5,4,0,0,0,1,0,0,0,0,0,0
38600,14,9,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
38700,17,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38800,46,29,7,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0
38900,56,1,48,0,5,2,5,1,4,0,0,0,2,0,2,0,0,0
39000,149,13,90,2,36,8,13,2,7,0,2,2,9,0,6,0,3,0
980000,16,2,9,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0
980100,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980200,8,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
980300,12,2,5,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0
980400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980800,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
980900,9,1,7,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0
