"Resident Births by Mother's Race/Ethnicity, 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,All Live Births,,,,,"Births Weighing < 2,500 grams",,,,,Births to Mothers < 18,,,,
Census Tract,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other
9100,7,13,0,1,2,0,3,0,0,0,0,1,0,0,0
9200,2,34,4,1,5,1,8,0,0,1,0,3,0,0,0
9300,4,75,0,4,4,0,9,0,0,0,0,4,0,1,0
9400,0,70,1,1,3,0,8,0,0,0,0,8,0,0,0
9500,1,52,1,3,7,0,7,0,1,1,0,7,0,0,0
9600,0,75,1,2,7,0,16,0,0,3,0,5,0,0,0
9801,0,17,0,3,4,0,1,0,0,0,0,0,0,0,0
9802,6,65,1,1,5,0,8,0,0,1,0,2,0,0,0
10000,0,53,0,2,7,0,8,0,0,3,0,1,0,0,0
10100,2,67,1,2,12,0,9,0,0,0,0,1,0,0,2
10200,0,64,0,2,2,0,13,0,0,1,0,4,0,0,0
10300,1,31,0,2,1,0,4,0,0,0,0,4,0,0,1
10400,1,50,0,2,7,0,10,0,0,2,0,3,0,1,1
10500,3,44,0,2,11,1,3,0,0,1,1,2,0,0,1
10600,0,18,3,3,2,0,2,1,0,0,0,2,0,0,1
10700,2,60,0,1,6,0,9,0,0,0,0,3,0,0,0
10800,1,45,0,1,8,0,5,0,0,3,0,2,0,0,0
10900,0,20,0,2,2,0,1,0,0,0,0,1,0,0,0
11000,5,62,0,6,7,1,9,0,1,0,0,5,0,1,0
11100,1,59,0,3,2,0,8,0,1,1,0,4,0,0,0
11200,2,68,1,2,4,0,9,0,1,1,1,2,0,0,2
11300,0,41,0,4,7,0,6,0,0,3,0,1,0,0,0
11400,1,79,1,3,5,0,8,0,1,0,0,4,0,0,0
11500,1,54,0,2,5,1,5,0,0,1,0,5,0,0,1
11700,3,9,2,0,1,1,1,0,0,1,0,1,0,0,0
11800,1,69,1,5,7,0,10,0,0,1,0,1,0,1,0
11900,7,74,0,2,5,0,9,0,0,2,0,7,0,1,0
12000,2,8,4,1,0,0,1,0,0,0,0,0,0,0,0
12100,4,26,2,2,4,0,5,1,0,0,0,2,0,0,0
12201,1,9,4,1,2,0,2,0,0,0,0,0,0,0,0
12203,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0
12204,3,17,3,2,6,0,1,0,0,1,0,0,0,0,0
12500,31,7,12,6,1,0,0,1,1,0,0,1,0,0,0
13100,3,16,1,2,1,1,0,0,0,0,0,0,0,0,0
13200,2,27,1,5,2,0,3,0,1,0,0,1,0,0,0
13300,6,24,1,5,3,0,5,0,1,0,0,0,0,0,0
13401,20,0,2,0,0,2,0,0,0,0,0,0,0,0,0
13402,21,5,1,6,0,2,0,0,2,0,0,1,0,0,0
13500,23,25,1,4,4,0,2,0,2,0,0,2,0,0,0
13601,41,1,1,3,1,1,0,1,0,0,0,0,0,0,0
13602,53,5,5,3,3,2,1,1,0,0,0,0,0,0,0
13700,16,69,0,2,4,1,10,0,0,0,0,0,0,1,0
13800,2,33,0,6,2,0,5,0,1,0,0,3,0,0,0
13900,1,63,0,2,4,0,10,0,0,0,0,5,0,0,2
14000,0,39,0,1,5,0,12,0,0,1,0,2,0,0,0
14100,2,37,0,4,3,0,4,0,0,1,0,0,0,0,0
14200,32,5,3,5,1,5,0,0,1,0,0,0,0,0,0
14300,13,2,1,1,1,2,0,0,0,0,0,0,0,0,0
14400,18,18,1,15,5,2,5,0,2,0,0,0,0,3,0
14500,1,22,0,9,1,0,2,0,1,1,0,2,0,0,0
14600,0,8,1,1,0,0,0,0,0,0,0,1,0,0,0
14700,0,14,0,1,1,0,1,0,0,0,0,0,0,0,0
14800,0,12,0,2,0,0,4,0,0,0,0,2,0,0,0
14900,1,59,0,4,5,0,9,0,1,1,0,7,0,0,0
15101,1,47,0,2,0,0,8,0,0,0,0,3,0,0,0
15102,1,88,0,3,6,0,15,0,0,0,0,6,0,0,0
15200,1,146,0,4,11,0,24,0,0,2,0,17,0,0,0
15300,1,38,1,0,2,0,10,0,0,0,0,1,0,0,0
15600,0,12,1,16,0,0,1,0,1,0,0,1,0,0,0
15700,9,7,0,26,9,0,1,0,2,0,0,0,0,1,0
15800,72,2,1,2,4,5,1,0,0,0,0,0,0,0,0
16000,84,7,2,8,10,8,0,0,1,4,2,1,0,0,1
16100,45,19,17,30,3,4,2,2,0,0,1,2,0,3,1
16200,2,11,2,39,1,0,1,0,3,0,0,1,0,4,0
16300,5,12,3,52,2,2,1,0,6,1,0,1,0,2,0
16400,4,46,1,45,1,0,7,0,6,0,0,4,0,1,0
16500,0,57,1,7,4,0,8,0,0,0,0,3,0,0,0
16600,1,15,1,2,0,0,1,0,0,0,0,1,0,0,0
16701,1,62,0,3,4,0,9,0,0,1,0,8,0,1,1
16702,3,43,0,1,2,0,15,0,0,0,0,2,0,0,0
16800,1,68,0,1,1,0,11,0,1,0,0,8,0,1,0
16901,3,48,0,1,2,0,7,0,0,0,0,4,0,1,0
16902,0,86,0,3,9,0,13,0,0,1,0,4,0,0,1
17000,8,38,1,3,2,2,7,0,0,0,0,3,0,0,0
17100,0,68,0,0,3,0,10,0,0,0,0,5,0,0,0
17201,0,53,0,0,0,0,12,0,0,0,0,4,0,0,0
17202,0,62,0,2,2,0,10,0,0,0,0,6,0,0,0
17300,0,53,0,0,5,0,4,0,0,2,0,4,0,0,0
17400,2,36,0,4,1,0,3,0,1,1,0,1,0,0,0
17500,3,20,2,112,1,0,1,0,11,0,0,4,0,13,0
17601,6,8,0,125,2,2,2,0,16,0,0,0,0,10,0
17602,4,9,1,71,0,0,2,0,9,0,0,1,0,6,0
17701,11,30,1,53,6,2,2,0,7,0,1,5,0,1,1
17702,10,31,0,76,4,4,9,0,10,1,1,4,0,6,0
17800,27,49,1,64,2,2,4,1,6,0,0,3,0,8,0
17900,42,31,3,54,2,5,7,0,7,1,1,3,0,6,0
18001,42,1,0,2,3,4,0,0,0,0,3,0,0,0,0
18002,73,0,0,1,1,7,0,0,0,0,1,0,0,0,0
18300,51,1,0,1,2,1,0,0,0,0,2,0,0,0,0
18400,28,1,0,0,1,4,0,0,0,0,1,0,0,0,0
18800,33,58,1,79,2,2,11,0,9,0,3,8,0,8,0
19000,19,37,4,108,7,0,6,0,9,0,0,7,0,8,0
19100,15,21,18,84,6,2,1,3,5,0,0,2,2,8,1
19200,11,37,4,99,6,0,8,0,16,2,1,5,0,14,0
19501,3,21,0,77,2,1,2,0,11,0,0,0,0,13,1
19502,5,13,0,71,3,1,3,0,13,1,0,0,0,5,1
19700,7,49,4,92,7,0,12,1,6,1,1,10,0,8,0
19800,3,42,3,74,2,0,8,0,5,0,0,3,0,5,0
19900,1,39,1,55,3,1,6,0,5,1,0,3,0,5,0
20000,0,25,1,2,0,0,4,0,0,0,0,0,0,0,0
20101,0,61,0,7,4,0,16,0,1,1,0,3,0,1,0
20102,2,55,0,3,4,0,16,0,0,0,0,5,0,0,1
20200,2,62,0,4,1,0,12,0,2,0,0,3,0,0,0
20300,1,39,0,6,4,0,4,0,1,0,0,2,0,1,0
20400,1,52,1,0,2,0,6,0,0,0,0,5,0,0,0
20500,1,33,0,0,4,0,7,0,0,1,0,5,0,0,0
20600,15,10,1,2,3,1,4,1,0,0,0,0,0,0,0
20700,70,13,4,2,6,6,2,0,1,1,1,0,0,0,0
20800,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
20900,25,4,1,2,2,2,0,0,0,0,0,1,0,0,0
21000,38,0,1,5,0,0,0,0,1,0,0,0,0,0,0
21100,35,2,1,3,1,3,0,0,0,0,0,0,0,0,0
21200,24,2,3,0,0,0,0,0,0,0,0,0,0,0,0
21300,41,1,1,2,2,1,1,0,1,0,0,0,0,0,0
21400,26,7,1,1,2,3,0,0,0,0,0,0,0,0,0
21500,41,1,2,7,1,2,0,0,0,0,0,0,0,0,0
21600,18,4,4,1,1,3,0,0,0,0,0,1,0,0,0
21700,61,4,5,0,3,5,0,2,0,1,1,0,0,0,0
21800,35,16,3,3,3,4,1,1,1,0,0,0,0,0,0
21900,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22000,8,1,0,0,0,2,0,0,0,0,0,1,0,0,0
23100,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23500,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23600,14,7,1,1,1,3,0,0,0,0,0,0,0,0,0
23700,23,25,2,5,3,1,1,0,0,1,0,3,0,1,0
23800,20,33,1,1,4,1,2,0,0,0,0,1,0,0,0
23900,2,11,3,0,0,0,1,0,0,0,0,1,0,0,0
24000,8,26,1,1,1,0,5,0,0,0,0,1,0,0,0
24100,1,17,0,2,3,0,2,0,0,2,0,1,0,1,0
24200,9,72,0,3,5,0,7,0,0,0,0,7,0,1,0
24300,4,66,1,4,1,0,5,0,1,0,0,2,0,0,0
24400,1,48,1,1,6,1,8,0,1,2,0,0,0,0,0
24500,3,75,0,2,6,0,12,0,0,0,0,6,0,0,0
24600,1,48,0,0,5,1,4,0,0,1,0,3,0,0,1
24700,3,73,0,3,1,0,14,0,0,0,0,4,0,0,0
24800,1,21,0,1,0,0,4,0,0,0,0,2,0,0,0
24900,0,49,2,2,4,0,10,0,1,0,0,5,0,1,0
25200,4,102,0,7,6,1,15,0,0,1,0,7,0,1,0
25300,9,43,0,2,4,1,7,0,0,1,0,1,0,0,0
25400,10,29,1,4,2,1,6,0,1,0,0,1,0,1,0
25500,5,14,0,4,2,0,2,0,0,1,1,0,0,0,0
25600,17,3,0,2,0,0,1,0,0,0,0,0,0,0,0
25700,24,12,1,5,1,0,3,0,0,0,0,0,0,0,0
25800,0,18,1,1,1,0,1,0,0,0,0,0,0,0,0
25900,0,58,1,0,2,0,11,1,0,0,0,1,0,0,0
26000,0,40,0,2,0,0,4,0,0,0,0,0,0,0,0
26100,0,29,0,3,1,0,6,0,0,0,0,0,0,0,0
26200,1,46,0,0,1,0,8,0,0,0,0,4,0,0,0
26301,0,35,0,0,1,0,4,0,0,0,0,3,0,0,0
26302,0,61,1,2,3,0,7,0,0,0,0,3,0,0,0
26400,0,46,0,0,6,0,6,0,0,1,0,3,0,0,1
26500,2,69,0,0,7,1,10,0,0,1,0,6,0,0,0
26600,1,90,0,1,4,1,9,0,0,0,0,3,0,0,0
26700,3,77,0,2,2,0,16,0,0,0,0,4,0,0,0
26800,2,43,0,5,4,1,10,0,0,0,0,2,0,1,0
26900,2,10,0,4,2,0,2,0,1,0,0,0,0,0,0
27000,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
27100,1,14,4,2,4,0,1,0,0,1,0,0,0,0,0
27200,0,50,6,7,1,0,7,0,0,0,0,2,0,0,0
27300,2,53,9,23,10,0,9,0,1,1,1,1,0,2,0
27401,1,32,15,10,5,0,6,0,0,1,0,2,0,0,0
27402,3,70,5,22,5,1,8,0,3,2,0,2,0,3,0
27500,3,43,6,14,8,0,7,0,0,1,0,4,0,2,0
27600,2,48,0,4,4,0,4,0,1,1,0,1,0,0,0
27700,0,67,0,3,4,0,13,0,0,0,0,2,0,0,0
27800,2,64,1,2,4,1,6,1,0,2,0,2,0,0,0
27901,0,60,0,2,4,0,9,0,0,2,0,5,0,0,0
27902,0,20,0,2,2,0,3,0,0,1,0,2,0,0,0
28000,0,61,0,4,5,0,17,0,0,0,0,1,0,1,1
28100,1,54,0,5,3,0,9,0,0,1,0,2,0,0,1
28200,1,50,0,4,4,0,7,0,0,1,0,3,0,0,0
28300,1,97,3,5,3,0,16,0,1,1,0,11,0,0,0
28400,2,56,3,14,7,1,9,0,0,0,0,7,1,2,1
28500,2,28,5,16,2,0,2,1,0,1,0,4,0,2,0
28600,3,74,7,55,15,0,11,2,7,1,0,4,1,5,0
28700,0,13,1,27,4,0,0,0,1,1,0,3,0,0,0
28800,5,19,8,60,5,0,5,2,5,0,0,0,1,4,0
28901,5,22,3,63,7,0,2,0,5,0,0,4,0,7,0
28902,1,30,6,71,6,0,6,0,9,1,0,3,1,2,0
29000,0,44,8,38,13,0,6,1,5,0,0,1,0,3,1
29100,5,30,13,20,6,0,4,2,2,0,0,1,0,1,0
29200,3,32,4,32,4,0,4,0,1,1,0,4,0,6,1
29300,18,32,0,24,5,4,4,0,5,1,2,0,0,2,0
29400,6,36,0,18,5,0,5,0,3,0,0,3,0,1,0
29800,20,50,5,32,7,3,2,0,1,1,0,1,0,1,0
29900,9,62,0,30,2,1,8,0,4,0,1,9,0,4,0
30000,12,101,2,39,8,1,14,0,1,3,0,10,0,4,0
30100,16,61,0,21,7,2,5,0,1,1,0,2,0,1,0
30200,17,72,0,46,10,2,4,0,4,2,0,2,0,2,2
30501,9,65,4,28,6,1,9,0,1,2,0,3,0,1,0
30502,11,46,5,18,6,3,5,0,1,1,0,3,0,1,0
30600,32,28,6,36,8,5,3,0,3,1,2,1,0,2,0
30700,20,18,4,4,7,3,3,0,0,1,1,0,0,1,1
30800,17,11,10,14,4,1,0,0,0,0,0,0,0,0,0
30900,11,15,5,10,8,0,3,0,0,2,0,3,0,1,0
31000,15,25,16,18,8,0,2,2,2,2,1,0,0,0,0
