"Live Birth Events by Mother's Race and Ethnicity, 2004",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
100,15,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,2,0,37,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0
300,17,3,9,0,3,0,2,1,1,0,1,0,0,0,0,0,0,0
400,14,1,6,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0
500,0,2,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
600,10,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
700,8,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
800,37,0,7,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
900,17,3,3,0,1,2,3,1,1,0,0,2,0,0,0,0,0,0
1000,43,2,3,1,1,2,12,0,0,0,0,1,0,0,0,0,0,0
1100,42,5,3,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0
1200,65,2,7,0,0,2,5,0,1,0,0,1,0,0,0,0,0,0
1300,10,36,1,1,6,4,0,8,0,1,0,0,0,3,0,0,2,1
1400,19,13,1,0,3,3,2,1,0,0,0,1,0,0,0,0,0,0
1500,11,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0
1600,25,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1700,39,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1800,19,7,0,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0
1900,3,22,2,1,6,6,0,1,1,0,1,3,0,1,0,0,0,1
2000,0,27,0,0,1,1,0,4,0,0,0,0,0,1,0,0,1,0
2100,0,32,0,1,0,1,0,4,0,1,0,0,0,4,0,1,0,0
2200,0,23,0,1,1,5,0,3,0,0,0,0,0,0,0,0,0,1
2300,14,1,9,1,5,3,0,0,0,1,1,0,0,0,0,0,0,0
2400,21,4,20,3,21,7,4,1,0,0,5,1,0,0,0,0,0,0
2500,19,29,3,2,5,5,0,5,2,0,1,1,0,2,0,0,1,0
2600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,34,31,17,5,33,11,4,5,1,0,2,1,0,4,1,1,2,0
2800,36,7,55,10,46,10,3,2,5,1,7,1,2,1,1,0,3,1
2900,18,0,6,2,3,0,2,0,0,0,2,0,0,0,0,0,0,0
3000,7,48,44,16,7,18,1,6,3,1,0,4,0,7,3,0,0,0
3100,1,69,4,1,4,3,0,8,1,0,0,0,0,12,1,0,1,0
3200,4,79,0,1,2,8,0,14,0,0,0,1,0,8,0,0,0,1
3300,19,80,4,0,2,11,1,13,0,0,0,3,3,9,0,0,0,0
3400,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,10,44,7,0,3,8,1,4,0,0,0,1,0,4,0,0,0,2
3701,5,103,16,2,4,10,0,13,2,1,0,1,0,16,0,0,0,0
3702,10,24,3,3,4,5,1,3,1,0,1,0,2,2,1,1,1,0
3800,25,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
3901,33,9,13,2,6,3,1,2,0,0,0,0,0,1,0,0,0,0
3902,52,0,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0
4001,19,0,2,2,6,1,0,0,0,0,1,0,0,0,0,0,1,0
4002,38,0,3,0,2,1,3,0,0,0,0,0,3,0,0,0,0,0
4101,16,29,28,11,20,10,1,9,2,1,3,0,0,3,0,2,2,0
4102,43,25,22,6,16,12,4,4,3,0,2,1,3,3,1,1,1,0
4201,52,6,6,5,4,7,4,0,1,1,0,0,1,2,0,0,0,0
4202,36,10,4,2,4,1,3,4,2,0,2,1,1,3,0,0,0,0
4300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,7,4,7,1,4,2,0,1,1,0,2,0,1,0,0,0,1,0
4500,20,0,2,2,3,1,2,0,0,1,1,0,1,0,0,0,0,0
4600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4700,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5400,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5500,3,49,2,1,1,2,0,10,0,0,0,1,0,0,0,0,0,0
5600,1,22,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
5900,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6000,19,74,3,4,5,6,2,11,0,0,1,0,0,3,0,0,0,1
6100,3,38,5,1,0,5,1,5,0,0,0,1,0,6,0,0,0,0
6200,8,63,3,2,5,7,1,8,2,0,0,2,0,5,0,0,0,1
6300,4,73,11,3,2,9,1,12,1,0,0,2,0,8,1,0,1,2
6400,3,52,12,3,0,7,1,2,0,0,0,0,0,8,1,0,0,0
6500,1,56,1,3,4,9,0,6,0,0,2,1,0,6,0,0,0,0
6600,3,58,5,0,1,6,0,12,0,0,0,0,0,7,1,0,0,1
6700,9,102,9,7,9,12,1,13,0,0,1,2,0,4,0,0,0,0
6900,0,55,0,0,1,2,0,7,0,0,0,0,0,5,0,0,0,0
7000,1,84,1,1,1,0,0,11,0,0,0,0,0,8,0,0,0,0
7100,6,126,2,3,1,8,2,16,0,0,0,5,0,11,0,0,1,1
7200,0,88,1,1,1,3,0,14,0,0,0,0,0,6,0,0,0,0
7300,2,49,0,0,1,3,0,7,0,0,0,1,0,6,0,0,0,1
7400,1,54,0,0,2,8,0,5,0,0,0,4,0,6,0,0,0,0
7700,6,9,3,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0
7800,12,30,3,3,2,0,0,4,1,0,0,0,0,1,0,0,0,0
7900,18,34,6,4,3,2,1,3,0,0,0,0,0,3,0,0,0,0
8000,1,46,1,0,2,8,0,0,1,0,0,2,0,7,0,0,0,0
8100,1,120,0,2,1,4,0,23,0,1,0,1,0,9,0,0,0,0
8200,0,72,1,2,1,5,0,14,0,0,0,1,0,6,0,0,0,0
8301,1,40,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0
8302,0,66,0,1,1,3,0,12,0,0,0,0,0,6,0,0,0,0
8400,1,74,0,4,0,4,0,15,0,3,0,0,0,7,0,1,0,0
8500,0,105,0,4,2,10,0,17,0,2,1,2,0,7,0,0,0,0
8600,10,76,4,5,5,6,0,9,0,1,1,2,0,4,0,0,0,0
8700,15,22,25,6,6,2,0,2,3,0,0,0,0,5,1,0,1,0
8800,1,5,6,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0
8900,4,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9000,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9100,2,18,2,0,1,4,0,2,0,0,1,0,0,3,0,0,0,1
9200,1,51,0,1,1,3,0,11,0,0,0,0,0,0,0,0,0,0
9300,0,52,0,1,2,9,0,11,0,0,1,0,0,6,0,0,0,0
9400,1,64,0,1,1,8,0,10,0,0,0,0,0,8,0,0,0,1
9500,0,41,0,0,2,4,0,6,0,0,0,0,0,4,0,0,0,0
9600,2,57,0,0,2,3,0,8,0,0,0,2,0,5,0,0,0,0
9800,5,90,1,1,5,7,0,11,0,0,1,2,0,3,0,0,1,0
9900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,5,65,0,3,4,2,0,10,0,2,1,0,0,6,0,0,0,0
10100,3,71,0,1,2,2,0,9,0,0,0,1,0,6,0,0,0,0
10200,1,54,0,0,2,6,0,4,0,0,0,1,0,4,0,0,0,1
