Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
008302,1,56,2,2,1,6,0,10,0,0,0,1,0,7,0,0,0,0
008400,0,60,0,1,2,6,0,7,0,0,0,0,0,4,0,0,1,1
008500,2,98,0,1,2,7,1,14,0,0,0,1,0,16,0,0,0,1
008600,12,77,6,1,8,5,2,12,0,0,0,1,0,3,0,0,1,1
008700,30,15,17,3,4,5,2,1,0,0,0,0,0,3,0,0,0,0
008800,2,6,7,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0
008900,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
009000,8,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
009100,2,19,0,1,1,1,0,8,0,0,0,0,0,1,0,0,0,0
009200,2,48,2,1,1,8,0,7,0,0,0,2,0,3,0,0,0,2
009300,0,59,2,0,0,5,0,11,0,0,0,2,0,6,0,0,0,0
009400,0,75,0,1,3,6,0,8,0,0,0,1,0,6,0,0,1,1
009500,1,52,0,3,1,5,0,10,0,2,1,1,0,7,0,0,0,0
009600,2,55,0,1,1,1,0,11,0,0,0,0,0,4,0,0,0,0
009700,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009800,5,81,3,3,4,5,0,8,0,0,0,0,0,1,0,0,0,0
010000,5,54,2,1,1,3,1,7,0,0,0,1,0,5,0,0,0,0
010100,3,104,1,1,3,5,1,8,0,0,0,2,0,9,0,0,0,0
010200,0,52,0,0,0,2,0,4,0,0,0,0,0,7,0,0,0,0
010300,0,39,1,1,1,6,0,4,0,0,0,0,0,2,0,0,0,1
010400,0,79,0,0,4,11,0,11,0,0,3,2,0,6,0,0,0,0
010500,0,42,1,0,1,1,0,8,0,0,0,1,0,6,0,0,0,0
010600,0,16,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,0
010700,0,52,0,0,2,2,0,5,0,0,0,0,0,2,0,0,1,0
