"Resident Birth by Mother's Race/Ethnicity, 2014",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
35702,77,63,1,9,0,4,6,6,0,0,0,0,0,0,0,0,0,0
35800,62,44,0,11,3,4,4,3,0,0,1,0,0,0,0,0,0,0
35900,59,37,3,14,1,4,1,1,0,0,0,0,0,0,0,0,0,0
36000,31,15,5,7,3,1,2,0,2,0,0,0,0,0,0,0,0,0
36100,53,29,8,5,6,5,2,1,1,0,0,0,0,0,0,0,0,0
36201,65,45,5,2,6,7,5,2,2,0,0,1,0,0,0,0,0,0
36202,81,66,2,4,5,4,11,10,0,0,1,0,0,0,0,0,0,0
36203,62,53,0,2,4,3,5,5,0,0,0,0,0,0,0,0,0,0
36301,38,27,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0
36302,55,30,16,2,5,2,8,4,3,0,1,0,0,0,0,0,0,0
36303,80,67,0,3,4,6,4,4,0,0,0,0,0,0,0,0,0,0
36400,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36501,62,34,5,4,6,13,2,0,0,1,0,1,1,0,1,0,0,0
36502,49,44,1,2,1,1,5,3,0,2,0,0,0,0,0,0,0,0
36600,31,21,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
36700,63,38,8,6,4,7,6,1,2,0,1,2,0,0,0,0,0,0
36900,14,5,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
37200,48,21,4,8,7,8,4,0,1,0,0,3,2,0,0,0,1,1
37300,45,21,11,8,1,4,3,1,2,0,0,0,0,0,0,0,0,0
37500,41,4,18,9,2,8,1,0,0,1,0,0,1,0,1,0,0,0
37600,46,7,6,11,14,8,0,0,0,0,0,0,0,0,0,0,0,0
37700,43,2,29,1,10,1,6,0,4,0,1,1,0,0,0,0,0,0
37800,46,32,5,2,4,3,2,1,1,0,0,0,1,0,0,0,0,1
37900,80,71,3,0,0,6,6,5,0,0,0,1,2,2,0,0,0,0
38000,43,26,5,1,10,1,5,4,0,0,1,0,1,1,0,0,0,0
38100,16,10,3,0,3,0,4,3,0,0,1,0,0,0,0,0,0,0
38200,52,21,11,1,17,2,6,1,1,0,3,1,3,1,0,0,2,0
38300,45,2,11,2,27,3,6,0,0,1,4,1,3,1,1,0,0,1
38400,30,22,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
38500,10,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
38600,12,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38700,25,24,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
38800,51,30,11,1,5,4,5,2,2,0,1,0,0,0,0,0,0,0
38900,50,2,45,1,1,1,6,0,6,0,0,0,1,0,1,0,0,0
39000,137,8,74,4,38,13,18,0,13,0,3,2,5,0,5,0,0,0
980000,17,1,9,1,2,4,2,0,0,0,1,1,0,0,0,0,0,0
980200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980600,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
980700,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980800,7,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
980900,13,4,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
999999,10,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
