"Live Birth Events by Mother's Race and Ethnicity, 2006",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
8301,1,24,0,1,1,4,0,2,0,0,0,1,0,1,0,0,0,0
8302,1,64,1,1,1,5,0,7,0,0,0,0,0,6,0,0,0,0
8400,1,63,0,0,4,7,0,5,0,0,1,2,0,3,0,0,1,0
8500,3,95,1,2,4,12,0,13,0,1,0,2,0,6,0,0,0,1
8600,15,56,11,3,9,9,2,10,1,1,0,0,0,1,0,0,0,0
8700,15,20,24,6,3,2,0,2,3,0,0,1,0,3,0,0,0,0
8800,3,8,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
8900,2,1,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
9000,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9100,7,15,0,0,5,1,1,3,0,0,1,0,0,0,0,0,0,0
9200,4,46,4,0,2,5,2,8,0,0,0,0,0,2,0,0,0,0
9300,1,58,0,0,1,5,0,7,0,0,1,2,0,6,0,0,0,0
9400,0,59,0,1,3,5,0,14,0,0,0,0,0,5,0,0,0,0
9500,1,56,0,1,1,8,0,8,0,0,0,2,0,4,0,0,0,0
9600,1,58,1,0,0,3,0,9,0,0,0,1,0,8,1,0,0,0
9700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9800,5,107,6,4,3,3,2,13,1,0,0,0,0,0,0,0,0,1
9900,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,1,62,0,1,3,5,0,10,0,1,0,1,0,4,0,0,1,0
10100,0,74,1,2,3,5,0,11,0,0,1,0,0,7,0,0,0,0
10200,0,51,0,0,1,7,0,9,0,0,0,1,0,7,0,0,0,0
10300,0,37,0,1,1,5,0,9,0,1,0,0,0,5,0,0,1,0
10400,2,70,0,1,5,4,0,5,0,0,2,0,0,7,0,0,0,0
10500,1,45,0,2,2,9,0,7,0,0,1,2,0,4,0,0,2,1
10600,0,13,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0
10700,0,52,1,1,0,8,0,9,0,0,0,2,0,2,0,0,0,2
10800,1,47,0,0,0,8,0,11,0,0,0,1,0,8,0,0,0,2
10900,0,45,1,0,1,3,0,7,0,0,0,0,0,4,0,0,0,0
11000,2,47,1,0,2,6,1,4,0,0,0,1,0,4,0,0,0,0
11100,1,53,0,0,4,6,0,11,0,0,0,1,0,3,0,0,0,0
11200,3,82,0,0,1,5,1,11,0,0,0,1,1,4,0,0,0,1
11300,0,46,0,0,0,5,0,8,0,0,0,1,0,4,0,0,0,0
11400,1,60,1,2,1,5,0,6,0,0,0,1,0,7,0,0,0,2
11500,2,50,5,0,1,7,0,6,1,0,0,1,0,4,0,0,0,0
11600,15,13,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11700,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11800,3,59,3,0,2,0,1,7,0,0,0,0,1,5,0,0,0,0
11900,0,60,1,1,0,5,0,9,0,0,0,1,0,4,0,0,0,0
12000,0,11,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
12100,4,20,2,0,1,2,0,3,0,0,1,0,0,1,0,0,0,0
12200,11,22,10,1,4,1,0,2,0,0,0,0,0,2,0,0,0,0
12300,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12500,26,3,15,0,3,1,2,0,2,0,1,0,0,0,0,0,0,0
12600,4,3,9,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0
12700,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12900,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,8,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13100,0,23,0,3,1,0,0,3,0,0,0,0,0,2,0,0,0,0
13200,0,46,0,0,2,3,0,11,0,0,0,2,0,3,0,0,0,1
13300,6,17,1,0,5,1,1,1,0,0,1,0,0,1,0,0,0,0
13400,26,4,3,0,8,1,3,0,1,0,2,0,0,1,0,0,2,0
13500,20,27,1,1,1,0,0,6,0,0,0,0,0,3,0,0,0,0
13600,73,2,11,1,7,1,4,0,1,0,0,0,0,0,0,0,0,0
13700,5,68,3,2,3,5,0,9,0,0,0,1,0,4,0,0,0,0
13800,0,27,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0
13900,1,64,0,0,2,4,0,9,0,0,0,0,0,7,0,0,0,0
14000,4,44,0,0,4,0,0,9,0,0,0,0,0,4,0,0,0,0
14100,4,25,3,0,3,1,1,1,1,0,0,0,0,2,0,0,0,0
14200,24,4,2,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
14300,10,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,7,10,3,0,20,2,1,1,0,0,4,0,0,2,0,0,3,0
14500,0,17,0,0,14,1,0,4,0,0,1,0,0,1,0,0,2,0
14600,1,25,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0
14700,0,32,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0
14800,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14900,1,56,2,2,2,5,0,6,0,0,0,2,0,7,0,0,1,0
15100,1,116,1,2,1,5,0,27,0,0,0,1,0,11,0,0,0,0
15200,2,146,1,0,1,4,2,20,0,0,0,0,0,16,0,0,1,1
15300,0,40,1,1,1,1,0,6,0,1,0,0,0,2,0,0,0,0
15400,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15500,0,55,1,1,21,1,0,9,0,1,0,0,0,8,0,0,3,0
15600,1,12,0,2,26,4,0,3,0,0,2,0,0,2,0,0,1,0
15700,11,5,1,6,38,5,2,0,0,0,6,0,1,1,0,0,2,0
15800,54,0,3,0,7,3,5,0,0,0,1,0,0,0,0,0,0,0
15900,19,3,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
16000,88,6,3,1,9,5,14,2,0,0,1,0,7,0,0,0,1,1
16100,37,19,14,1,41,6,5,2,2,0,2,1,3,1,0,0,7,0
16200,5,14,1,0,22,0,0,1,0,0,1,0,0,1,0,0,0,0
16300,3,12,3,0,53,0,0,0,1,0,3,0,0,0,0,0,6,0
16400,6,45,2,0,83,1,2,9,0,0,11,0,1,8,0,0,7,0
16500,2,77,2,1,5,1,0,16,0,0,0,1,0,6,0,0,0,1
16600,1,19,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0
16700,0,91,0,1,3,3,0,12,0,0,0,0,0,14,0,0,0,0
16800,2,70,1,0,0,2,0,2,0,0,0,0,0,10,0,0,0,1
16901,1,58,0,0,0,2,0,7,0,0,0,1,0,5,0,0,0,0
16902,0,81,2,0,5,7,0,7,0,0,1,0,0,9,0,0,0,0
17000,4,39,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0
17100,1,60,3,1,0,1,1,7,0,0,0,1,0,8,0,0,0,0
17200,0,140,2,0,6,2,0,32,0,0,0,0,0,12,0,0,1,0
17300,0,40,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0
17400,0,40,2,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0
17500,3,42,4,1,115,3,0,1,0,0,20,1,0,2,0,0,11,0
17601,1,7,1,2,130,1,0,3,1,0,14,0,0,1,0,1,21,0
17602,3,10,1,1,75,1,0,3,0,0,8,0,0,1,0,1,8,0
17700,19,51,4,1,160,6,0,5,1,0,16,0,1,9,0,1,21,1
17800,29,45,3,3,105,5,4,11,0,0,10,1,2,7,0,1,9,1
17900,51,34,1,0,36,11,8,10,0,0,0,0,5,4,0,0,2,1
18000,102,0,1,1,5,2,10,0,1,0,1,1,4,0,0,0,0,0
18100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18200,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18300,34,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
18400,18,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
18500,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18600,49,1,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0
