Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
100,17,5,4,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0
200,8,7,27,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0
300,33,2,9,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0
400,10,3,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
500,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
700,8,1,10,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
800,37,0,8,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0
900,19,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1000,50,4,14,0,3,3,9,2,1,0,0,0,0,0,0,0,0,0
1100,45,5,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0
1200,82,1,9,0,3,3,8,0,1,0,0,0,0,0,0,0,0,0
1300,58,11,12,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0
1400,36,6,3,0,8,2,6,0,1,0,3,0,0,1,0,0,0,0
1500,33,5,6,3,1,1,3,1,2,0,0,0,0,0,0,0,0,0
1600,20,1,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0
1700,27,1,4,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0
1800,30,9,3,0,3,5,1,0,0,0,0,0,0,1,0,0,0,1
1900,10,13,4,0,3,3,0,3,0,0,0,1,0,1,0,0,0,0
2000,4,35,0,0,3,6,0,4,0,0,2,3,0,3,0,0,0,0
2100,2,33,0,0,1,3,0,2,0,0,0,0,0,5,0,0,0,0
2200,4,24,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0
2300,18,1,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,41,8,10,2,27,2,1,1,0,1,1,0,0,0,0,0,0,0
2500,21,20,3,0,5,3,1,2,0,0,1,0,0,1,0,0,0,0
2700,54,21,17,4,17,5,7,1,4,1,1,0,1,0,1,1,1,0
2800,43,10,29,11,64,4,2,1,0,0,3,2,0,0,0,0,3,0
2900,37,2,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0
3000,14,51,33,15,30,16,2,8,5,2,5,3,0,2,0,0,3,2
3100,0,64,2,5,5,6,0,8,0,2,0,1,0,6,0,0,0,1
3200,4,88,0,1,1,7,0,14,0,0,0,1,0,5,0,0,0,0
3300,25,85,4,2,4,22,5,9,0,2,0,2,0,3,0,0,0,5
3400,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,9,68,13,3,8,13,1,10,0,0,2,3,0,4,0,0,1,4
3701,5,93,17,4,5,13,1,13,1,1,0,2,0,17,0,0,0,2
3702,9,19,6,6,5,4,0,3,0,1,0,1,1,3,1,0,0,0
3800,33,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3901,50,11,16,3,3,13,5,0,1,1,0,2,2,0,0,0,0,0
3902,40,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
4001,25,0,7,2,7,2,0,0,0,0,0,1,0,0,0,0,0,0
4002,33,3,2,1,7,4,1,0,0,0,0,0,0,1,0,0,0,1
4101,8,25,28,7,44,9,0,6,0,0,1,2,0,1,1,0,0,0
4102,36,20,34,10,30,13,3,3,2,1,2,2,0,2,5,0,3,1
4201,48,4,4,1,3,5,2,0,0,0,0,1,0,0,0,0,0,1
4202,35,2,4,0,7,2,2,1,0,0,0,0,1,0,0,0,0,0
