Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
4400,4,8,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1
4500,27,0,3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
4600,2,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0
4700,19,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
4800,9,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
5100,5,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5400,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5500,6,51,4,1,7,8,1,4,0,0,2,3,0,4,0,0,0,0
5600,0,20,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0
6000,9,65,5,3,4,15,0,10,1,0,1,4,0,4,0,0,1,0
6100,2,31,3,4,1,13,0,2,0,0,0,3,0,1,0,0,0,2
6200,0,88,7,6,3,6,0,17,0,0,0,1,0,4,0,0,0,0
6300,2,59,6,6,3,13,0,8,0,0,0,6,0,6,0,0,0,1
6400,1,79,6,6,5,12,0,6,0,1,3,0,0,4,0,0,0,0
6500,0,78,1,2,1,12,0,7,0,0,0,0,0,5,0,0,0,1
6600,1,68,11,2,6,8,0,7,2,0,1,0,1,3,1,0,1,1
6700,7,110,8,5,9,14,1,18,0,0,0,0,0,6,0,0,1,0
6900,0,55,0,1,0,6,0,6,0,0,0,0,0,3,0,0,0,0
7000,2,51,1,1,4,3,0,5,0,0,0,0,0,2,0,0,0,0
7100,2,114,1,3,4,13,1,17,0,0,0,3,0,9,0,0,0,0
7200,4,58,0,2,0,4,0,5,0,1,0,0,0,3,0,1,0,0
7300,2,53,0,1,2,4,0,6,0,0,0,1,0,3,0,0,0,1
7400,1,61,1,3,3,2,0,6,0,0,0,0,0,8,0,1,0,0
7500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7700,4,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7800,13,15,3,1,2,3,1,0,0,0,0,0,0,0,0,0,1,0
7900,24,16,4,0,2,4,1,3,0,0,0,1,0,0,0,0,0,0
8000,10,50,2,2,1,7,0,7,1,0,0,2,0,5,0,0,0,0
8100,0,115,2,5,1,9,0,14,0,0,0,0,0,8,0,0,0,2
8200,1,88,0,1,4,3,0,5,0,1,0,0,0,4,0,0,0,0
8301,0,51,0,0,2,4,0,7,0,0,0,0,0,0,0,0,0,0
8302,1,63,1,0,5,7,0,8,0,0,1,0,0,1,0,0,0,2
8400,0,80,1,3,3,9,0,13,0,1,0,2,0,6,0,0,0,3
8500,6,104,1,0,5,12,0,23,0,0,0,3,0,9,0,0,0,0
8600,22,54,7,2,5,7,0,5,0,0,1,1,0,3,0,0,0,0
8700,19,6,26,4,4,2,3,0,2,0,0,0,0,1,0,0,1,0
8800,2,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8900,4,3,9,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
9000,4,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9100,4,9,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1
9200,3,47,3,3,8,7,0,10,0,0,1,1,0,4,0,0,0,1
9300,0,68,1,0,3,5,0,11,0,0,1,0,0,4,0,0,0,0
9400,0,53,0,1,3,5,0,4,0,0,2,0,0,10,0,0,0,0
9500,3,61,1,1,1,2,0,13,0,1,0,0,1,7,0,1,0,0
9600,0,66,2,0,0,8,0,6,0,0,0,3,0,3,0,0,0,2
9700,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9800,10,105,1,2,3,4,0,8,0,0,0,0,0,4,0,1,0,0
9900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,3,53,0,2,3,4,0,7,0,0,0,1,1,4,0,0,0,0
10100,4,91,0,2,1,5,0,10,0,0,1,1,0,5,0,0,0,0
10200,1,43,0,0,2,2,0,6,0,0,0,0,0,3,0,0,0,2
10300,0,38,0,0,2,3,0,2,0,0,0,0,0,3,0,0,0,1
10400,1,38,0,0,1,3,0,4,0,0,0,1,0,4,0,0,0,0
10500,2,55,0,3,0,6,1,6,0,0,0,0,0,4,0,0,0,1
10600,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10700,0,64,0,0,3,4,0,14,0,0,1,2,0,5,0,0,0,0
10800,3,69,0,0,3,1,0,6,0,0,1,0,0,7,0,0,0,0
10900,1,33,0,0,1,2,0,5,0,0,0,0,0,2,0,0,0,0
11000,1,47,0,2,2,3,0,6,0,1,1,0,0,3,0,0,0,1
11100,2,91,1,0,4,5,0,12,0,0,0,2,0,11,0,0,0,0
11200,3,92,0,2,2,10,0,14,0,0,0,0,0,4,0,1,0,0
11300,0,50,1,0,1,4,0,6,0,0,0,0,0,3,0,0,0,0
11400,1,93,1,2,3,3,0,14,0,0,0,1,0,2,0,0,0,0
11500,0,59,0,2,1,2,0,5,0,1,0,1,0,0,0,0,0,0
11600,9,19,3,2,3,0,0,5,0,0,0,0,0,1,0,0,0,0
11700,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11800,0,51,0,2,4,3,0,8,0,2,1,0,0,0,0,0,0,0
11900,2,56,0,1,4,4,0,6,0,0,2,1,0,4,0,0,0,1
12000,2,11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12100,4,6,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
12200,15,27,15,6,2,3,0,3,2,1,1,1,0,1,0,0,0,0
12300,6,28,5,2,1,8,0,2,0,0,0,2,0,3,0,0,0,0
12400,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12500,22,0,11,1,4,2,0,0,2,0,0,1,0,0,0,0,0,0
12600,4,7,7,2,15,2,0,1,1,0,2,0,0,0,0,0,0,0
12700,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12800,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12900,7,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
13000,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13100,2,25,1,0,2,1,0,4,0,0,1,0,0,1,0,0,0,0
13200,1,36,2,0,5,4,0,8,0,0,0,0,0,1,0,0,0,0
13300,9,16,1,0,3,5,0,1,0,0,1,1,0,2,0,0,0,0
13400,33,1,4,0,7,1,2,0,0,0,1,0,0,0,0,0,1,0
13500,30,23,3,0,7,0,0,1,1,0,0,0,0,4,0,0,0,0
13600,71,5,11,2,3,1,1,0,2,0,0,0,0,0,0,0,0,0
13700,10,55,4,2,3,5,0,7,1,0,0,0,0,4,0,0,0,1
13800,3,21,1,1,1,2,0,3,0,0,0,0,0,0,0,0,1,0
13900,3,58,0,0,5,3,0,6,0,0,1,0,0,8,0,0,0,1
14000,0,31,1,0,1,3,0,4,0,0,0,0,0,1,0,0,1,0
14100,1,25,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0
14200,33,3,3,1,11,2,2,0,0,0,2,0,0,0,0,0,1,0
14300,15,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
14400,11,9,0,5,15,1,4,0,0,0,1,0,0,0,0,1,1,0
14500,0,24,0,1,13,0,0,7,0,0,0,0,0,2,0,1,1,0
14600,2,17,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0
14700,1,28,1,2,1,3,0,6,0,0,0,0,0,3,0,0,0,0
14800,0,7,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0
14900,1,76,0,1,0,2,0,12,0,1,0,1,0,3,0,0,0,0
15000,9,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
15100,0,112,0,0,1,11,0,9,0,0,0,2,0,16,0,0,0,0
15200,1,138,1,0,1,6,0,17,0,0,0,0,0,14,0,0,1,1
15300,1,24,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0
15400,0,28,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
15500,2,36,0,0,17,3,0,3,0,0,1,1,0,4,0,0,2,0
15600,1,16,1,0,18,2,1,4,0,0,3,0,0,1,0,0,2,0
15700,10,5,0,4,26,4,0,0,0,1,4,0,0,1,0,0,5,0
15800,64,2,3,0,4,4,11,1,0,0,0,0,3,0,0,0,0,0
15900,17,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
16000,88,6,3,1,5,6,4,1,0,1,1,0,6,1,0,0,0,0
16100,45,13,8,1,35,5,8,2,0,0,4,1,2,1,0,0,2,0
16200,3,8,0,1,37,0,0,2,0,0,5,0,0,0,0,0,7,0
16300,3,9,1,0,62,3,0,2,0,0,8,1,0,0,0,0,6,0
16400,4,38,2,3,57,2,2,2,1,0,11,1,0,6,0,0,1,0
16500,2,49,0,0,11,4,0,7,0,0,1,0,0,8,0,0,1,0
16600,0,18,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0
16700,1,99,0,1,6,3,0,17,0,0,0,0,0,9,0,0,2,0
16800,0,63,0,2,4,4,0,6,0,0,0,1,0,5,0,0,0,0
16901,0,66,0,0,4,2,0,14,0,0,0,0,0,8,0,0,0,0
16902,1,84,0,0,2,10,0,13,0,0,0,1,0,17,0,0,0,0
17000,7,25,1,0,3,0,1,9,1,0,0,0,0,0,0,0,0,0
17100,1,66,0,0,4,2,0,10,0,0,1,1,0,7,0,0,0,0
17200,1,120,1,1,3,2,0,17,0,0,0,0,0,13,0,0,0,0
17300,0,50,1,1,4,3,0,11,0,0,0,0,0,1,0,0,1,1
17400,0,41,0,0,1,1,0,5,0,0,0,0,0,4,0,0,0,0
17500,5,47,2,0,105,3,0,7,0,0,8,0,0,2,0,0,5,0
17601,0,16,1,1,106,3,0,3,0,0,11,1,0,2,0,0,9,0
17602,3,12,0,0,77,1,0,0,0,0,12,0,0,0,0,0,9,0
17700,14,61,1,3,157,3,2,11,0,0,23,0,2,5,0,0,15,1
17800,26,51,3,2,81,4,3,7,0,0,12,0,1,5,0,0,9,0
17900,48,42,1,0,41,3,11,8,0,0,3,0,2,3,0,0,5,0
18000,93,2,0,2,12,8,5,0,0,0,0,5,2,1,0,0,0,0
18100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18200,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
18300,38,1,1,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0
18400,20,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
18500,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18600,71,1,3,1,1,1,5,0,1,0,0,1,0,0,0,0,0,0
18700,21,6,2,0,14,0,2,2,0,0,1,0,2,0,0,0,2,0
18800,36,62,1,2,110,9,5,8,0,0,16,0,0,5,0,0,12,1
18900,3,11,0,0,9,1,0,3,0,0,1,1,0,0,0,0,0,0
19000,11,48,2,2,78,1,1,10,1,0,15,0,0,5,0,0,7,0
19100,13,15,10,3,86,5,0,4,0,0,8,0,0,1,1,0,7,0
19200,19,51,2,4,149,7,1,9,0,0,14,1,3,7,0,1,16,1
19300,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
19400,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19500,8,31,2,5,174,3,0,2,0,0,15,0,1,3,0,0,9,0
19600,3,10,2,1,38,1,1,2,0,0,8,0,1,0,0,0,3,0
19700,8,48,2,1,80,5,0,6,1,0,10,2,0,6,0,0,5,0
19800,3,51,4,0,77,3,1,8,0,0,9,1,0,5,1,0,7,0
19900,2,35,0,1,50,1,0,3,0,0,3,0,0,1,0,0,6,0
20000,3,18,0,1,1,1,0,3,0,0,0,0,0,5,0,0,0,0
20100,4,109,0,0,4,5,0,23,0,0,1,1,0,10,0,0,0,0
20200,0,83,0,1,1,1,0,6,0,0,0,0,0,9,0,0,0,0
20300,1,48,2,1,4,2,0,5,0,0,0,1,0,8,0,0,2,0
20400,2,46,0,0,7,4,1,9,0,0,0,2,0,9,0,0,1,0
20500,1,41,0,1,0,1,1,10,0,0,0,0,0,3,0,0,0,0
20600,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20700,63,12,3,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0
20800,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20900,29,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21000,31,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21100,25,6,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
21200,20,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
21300,41,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21400,27,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
21500,41,0,4,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0
21600,25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21700,86,7,3,0,4,2,10,3,1,0,0,0,0,0,0,0,0,0
21800,32,9,0,1,6,3,3,1,0,0,0,0,1,0,0,0,0,0
21900,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22000,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22100,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22200,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22300,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22600,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22700,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22800,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22900,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23000,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23100,13,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
23200,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23300,23,10,5,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
23400,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23500,9,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
23600,17,5,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0
23700,15,31,1,3,5,3,1,5,0,1,1,0,0,5,0,0,0,0
23800,16,35,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0
23900,1,13,4,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0
24000,17,46,1,2,3,2,0,6,0,0,0,0,0,1,0,0,0,0
24100,6,18,1,1,2,1,1,2,1,0,0,0,0,1,0,0,0,0
24200,8,62,0,4,4,5,0,12,0,1,0,0,0,7,0,0,0,0
24300,3,54,0,1,2,8,0,7,0,0,0,0,0,2,0,0,0,0
24400,2,33,1,1,2,6,0,7,0,0,0,0,0,1,0,0,0,0
24500,1,75,0,0,1,2,0,9,0,0,0,0,0,7,0,0,0,0
24600,1,44,0,2,3,1,0,3,0,0,1,0,0,6,0,0,1,0
24700,2,75,0,1,3,5,1,11,0,0,0,0,0,7,0,0,1,0
24800,0,35,1,0,1,0,0,6,0,0,0,0,0,3,0,0,0,0
24900,2,52,0,0,2,0,0,7,0,0,0,0,0,5,0,0,1,0
25000,2,25,0,0,3,1,0,2,0,0,1,0,0,1,0,0,1,0
25100,0,29,0,2,4,0,0,8,0,0,0,0,0,3,0,0,1,0
25200,8,100,1,0,4,5,0,13,0,0,0,0,0,6,0,0,0,1
25300,5,44,1,0,1,3,0,9,0,0,0,0,0,2,0,0,0,0
25400,5,46,0,1,2,1,0,7,0,0,2,0,0,0,0,0,0,0
25500,11,16,0,0,3,2,2,1,0,0,2,0,0,0,0,0,0,0
25600,21,7,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
25700,23,9,4,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0
25800,1,12,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
25900,0,53,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0
26000,1,27,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
26100,1,33,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0
26200,0,32,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
26301,0,48,0,2,2,2,0,7,0,0,0,0,0,2,0,0,0,0
26302,3,70,0,0,2,1,0,10,0,0,0,0,0,5,0,0,0,0
26400,0,49,0,1,0,2,0,6,0,0,0,2,0,0,0,0,0,0
26500,2,61,0,0,1,4,2,7,0,0,0,0,0,4,0,0,0,0
26600,0,98,0,2,5,6,0,16,0,0,0,4,0,7,0,0,0,0
26700,1,90,0,1,2,2,0,9,0,0,0,0,0,5,0,0,0,0
26800,1,70,0,3,6,2,0,4,0,1,0,1,0,4,0,0,0,0
26900,3,10,1,0,3,3,0,1,1,0,0,0,0,1,0,0,0,0
27000,0,24,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
27100,0,21,5,3,3,1,0,4,0,0,1,0,0,1,0,0,1,0
27200,0,65,4,2,6,2,0,5,2,0,1,1,0,7,0,0,1,0
27300,1,59,13,4,20,0,0,7,4,0,2,0,0,6,0,0,0,0
27400,6,95,27,9,42,9,0,14,1,2,5,1,0,7,2,0,1,0
27500,4,46,8,7,8,3,0,7,0,0,1,1,0,1,1,2,2,0
27600,2,50,1,1,3,3,0,7,0,0,0,1,0,2,0,0,0,0
27700,1,56,0,0,2,4,0,9,0,0,0,4,0,3,0,0,1,0
27800,0,72,2,1,2,3,0,13,0,0,0,0,0,2,1,0,0,0
27900,1,89,0,0,1,1,0,8,0,0,0,0,0,6,0,0,0,0
28000,0,65,0,0,2,1,0,17,0,0,0,0,0,7,0,0,0,0
28100,0,47,0,0,5,4,0,8,0,0,1,0,0,3,0,0,0,0
28200,1,66,3,1,3,7,0,9,2,0,0,1,0,5,0,0,0,0
28300,2,103,11,8,11,2,0,13,4,0,0,0,0,8,0,0,1,1
28400,1,48,4,0,21,1,0,9,0,0,5,0,0,0,1,0,0,0
28500,0,23,1,1,15,1,0,4,0,0,2,0,0,1,0,0,0,0
28600,5,56,11,5,52,4,1,3,1,1,3,0,1,4,1,0,2,0
28700,1,9,0,1,34,2,0,0,0,0,1,0,0,0,0,0,4,0
28800,5,17,3,4,46,3,1,5,0,0,8,0,0,2,0,0,4,1
28900,15,66,12,15,111,8,3,12,1,1,8,2,1,3,0,0,6,1
29000,3,56,16,4,50,3,1,7,2,0,6,3,0,3,0,0,3,0
29100,2,23,10,2,16,5,0,4,1,0,3,0,0,2,0,0,3,1
29200,3,26,2,2,30,1,1,6,1,0,5,0,0,3,0,0,3,0
29300,13,43,4,2,21,3,3,8,0,0,2,0,0,7,1,0,2,0
29400,8,24,0,0,19,1,0,6,0,0,1,0,0,2,0,0,0,0
29500,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
29600,22,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0
29700,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
29800,30,48,3,2,21,6,2,10,0,0,1,1,3,5,0,0,2,0
29900,14,45,1,3,25,3,2,4,1,0,3,1,1,3,0,0,3,0
30000,12,101,2,2,33,7,3,15,0,1,4,0,1,13,0,0,5,3
30100,17,58,0,0,27,4,4,12,0,0,1,1,1,1,0,0,1,0
30200,23,62,5,1,34,4,3,7,1,0,3,0,1,2,0,0,2,0
30300,7,77,2,5,34,8,0,14,0,0,4,1,0,8,0,0,2,0
30400,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
30500,20,97,13,7,49,5,1,13,1,0,2,1,1,5,0,0,0,0
30600,22,36,9,12,40,5,4,4,1,0,4,0,0,2,0,0,2,0
30700,15,16,3,6,16,3,0,1,1,0,0,0,0,1,0,0,1,0
30800,18,8,9,4,12,2,0,1,0,2,0,1,0,2,0,0,0,0
30900,2,20,2,2,14,1,0,6,0,0,1,0,0,0,0,0,0,0
31000,26,22,20,8,28,3,2,1,0,1,4,0,1,1,0,0,1,0
31100,21,68,9,5,45,10,0,8,0,0,2,1,1,4,0,0,2,0
31200,9,25,9,5,20,1,1,2,2,0,2,0,1,1,0,0,2,1
31300,17,35,15,4,37,5,1,3,2,0,5,0,0,0,0,0,0,0
31400,45,42,33,8,50,9,0,3,2,0,6,2,0,2,0,0,1,2
31500,102,13,10,5,24,1,7,1,1,0,0,0,1,0,0,0,0,0
31600,46,5,6,1,15,1,1,2,0,0,3,0,0,0,0,0,1,0
31700,28,30,9,1,23,9,1,4,0,0,3,2,0,2,0,0,0,1
31800,6,23,4,0,23,6,0,0,0,0,4,2,0,1,0,0,0,1
31900,35,20,2,1,19,1,2,2,0,0,3,0,2,2,0,0,3,0
32000,65,32,3,3,15,6,5,7,0,0,1,0,0,0,0,0,1,0
32100,27,21,0,0,11,1,3,3,0,0,1,0,2,0,0,0,1,0
32200,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32300,30,15,2,1,19,5,3,5,0,0,0,1,0,1,0,0,0,0
32500,42,17,2,1,18,2,4,6,0,1,1,0,1,2,0,0,1,0
32600,58,14,4,2,11,5,6,1,3,0,2,1,2,0,0,0,1,0
32700,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32900,35,10,2,3,17,1,2,5,0,0,2,0,0,0,0,0,1,0
33000,61,27,6,3,16,6,10,3,1,1,1,2,4,1,0,0,1,0
33100,106,13,6,2,16,3,4,1,0,0,1,0,3,0,0,1,1,0
33200,27,3,2,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0
33300,22,5,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
33400,22,12,15,3,17,2,1,2,0,1,1,0,0,1,0,0,0,0
33500,8,7,7,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0
33600,67,4,9,2,25,1,5,0,0,0,1,0,1,1,0,0,0,0
33700,72,10,13,17,22,4,4,2,4,1,3,0,0,1,0,1,1,0
33800,54,12,7,3,17,2,1,3,0,0,1,0,2,0,0,0,0,0
33900,30,12,2,2,11,0,5,0,0,0,0,0,0,0,0,0,0,0
34000,26,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34100,67,5,5,1,7,1,6,1,0,0,0,0,0,0,0,0,0,0
34200,21,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
34300,9,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
34400,41,4,17,2,2,0,3,1,1,1,0,0,0,0,0,0,0,0
34500,45,16,21,2,13,6,4,1,1,0,1,0,0,0,0,0,0,0
34600,21,20,7,1,9,5,2,1,1,0,0,1,0,2,0,0,0,0
34701,26,15,20,0,8,3,5,3,0,0,2,0,0,1,0,0,0,0
34702,22,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0
34801,42,7,1,1,3,3,3,1,0,0,0,1,0,0,0,0,0,0
34802,28,10,3,1,8,1,3,2,0,0,1,0,0,0,0,0,0,0
34803,36,6,3,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0
34900,38,29,8,1,14,5,2,3,0,0,3,1,5,0,0,0,0,0
35100,16,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35200,27,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
35301,47,4,3,1,3,2,5,1,0,0,1,0,0,0,0,0,0,0
35302,45,4,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0
35400,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
35500,51,5,17,3,8,4,1,1,0,0,1,2,0,0,0,0,0,0
