Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
100,18,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
200,0,0,41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
300,14,2,5,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0
400,17,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,3,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
600,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,18,1,5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
800,44,2,7,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0
900,8,6,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1000,26,0,2,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0
1100,38,1,5,0,8,1,4,0,0,0,1,1,0,0,0,0,1,0
1200,63,7,9,0,8,4,2,0,0,0,2,0,0,1,0,0,0,0
1300,8,37,2,2,5,1,0,3,0,0,0,0,0,2,0,0,1,0
1400,20,13,3,0,0,1,3,3,0,0,0,0,1,3,0,0,0,0
1500,8,7,4,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0
1600,19,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,22,4,3,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0
1800,15,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1900,4,32,0,0,5,3,0,5,0,0,0,0,0,1,0,0,0,0
2000,2,32,1,0,2,1,0,6,1,0,1,0,0,2,0,0,0,0
2100,0,31,0,0,1,1,0,5,0,0,0,0,0,1,0,0,0,0
2200,0,22,0,0,0,3,0,4,0,0,0,1,0,3,0,0,0,0
2300,13,1,3,0,6,4,3,1,1,0,0,0,0,0,0,0,0,0
2400,19,5,17,2,11,5,1,0,0,0,2,0,0,0,0,0,1,1
2500,12,25,2,0,5,6,0,2,0,0,0,1,0,3,0,0,0,1
2600,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2700,38,19,12,6,27,9,4,5,0,1,0,1,1,3,0,0,1,0
2800,36,10,59,9,28,8,3,2,2,1,4,1,2,1,2,0,3,0
2900,24,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3000,3,57,39,11,9,11,0,5,3,0,1,1,0,6,2,0,0,1
3100,0,70,3,1,2,5,0,18,0,0,0,3,0,9,0,0,0,0
3200,2,89,0,1,2,10,0,10,0,0,0,1,0,13,0,0,0,1
3300,18,71,1,0,3,8,0,10,0,0,0,2,0,11,0,0,1,1
3400,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,8,43,10,0,2,7,0,8,0,0,0,0,1,2,0,0,0,1
3701,4,77,16,1,4,12,0,10,3,1,1,4,0,12,2,0,0,3
3702,11,27,10,0,4,4,1,4,0,0,0,0,0,2,0,0,0,0
3800,38,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3901,20,12,12,5,11,9,1,2,1,0,4,2,1,0,0,0,0,0
3902,50,0,1,0,3,2,4,0,0,0,0,0,1,0,0,0,1,0
4001,33,0,5,3,5,2,3,0,1,0,0,0,1,0,0,0,0,0
4002,30,0,0,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0
4101,14,22,16,10,8,16,3,5,0,1,0,1,0,1,2,2,0,1
4102,44,25,16,7,28,9,1,11,1,0,1,0,4,2,3,0,1,1
