School Year,Enrolled School ID,Enrolled School Name,Enrolled School Zip Code,Catchment School ID,Catchment School Name,Catchment School Zip Code,Student Counts
2020-2021,1010,"Bartram, John High School",19142,1010,"Bartram, John High School",19142,396
2020-2021,1010,"Bartram, John High School",19142,1100,"Sayre, William L. High School",19139,21
2020-2021,1010,"Bartram, John High School",19142,2000,South Philadelphia H.S.,19148,1
2020-2021,1010,"Bartram, John High School",19142,2010,"Franklin, Benjamin High School",19130,2
2020-2021,1010,"Bartram, John High School",19142,3414,Aspira Olney Charter High,19120,1
2020-2021,1010,"Bartram, John High School",19142,3416,Mastery Charter at Gratz,19140,5
2020-2021,1010,"Bartram, John High School",19142,4020,Overbrook High School,19131,13
2020-2021,1010,"Bartram, John High School",19142,4140,Strawberry Mansion High School,19121,1
2020-2021,1010,"Bartram, John High School",19142,5020,"Edison, Thomas A. High School",19140,1
2020-2021,1010,"Bartram, John High School",19142,5700,Kensington High School,19125,1
2020-2021,1010,"Bartram, John High School",19142,6030,Roxborough High School,19128,1
2020-2021,1010,"Bartram, John High School",19142,6060,"King, Martin Luther High Sch.",19138,6
2020-2021,1010,"Bartram, John High School",19142,7010,Frankford High School,19124,1
2020-2021,1010,"Bartram, John High School",19142,8010,"Lincoln, Abraham High School",19136,2
2020-2021,1010,"Bartram, John High School",19142,Data Not Available,Data Not Available,Data Not Available,3
2020-2021,1020,West Philadelphia High School,19139,1010,"Bartram, John High School",19142,55
2020-2021,1020,West Philadelphia High School,19139,1020,West Philadelphia High School,19139,121
2020-2021,1020,West Philadelphia High School,19139,1100,"Sayre, William L. High School",19139,80
2020-2021,1020,West Philadelphia High School,19139,2000,South Philadelphia H.S.,19148,2
2020-2021,1020,West Philadelphia High School,19139,2010,"Franklin, Benjamin High School",19130,4
2020-2021,1020,West Philadelphia High School,19139,2160,"Furness, Horace High School",19148,1
2020-2021,1020,West Philadelphia High School,19139,3414,Aspira Olney Charter High,19120,5
2020-2021,1020,West Philadelphia High School,19139,3416,Mastery Charter at Gratz,19140,4
2020-2021,1020,West Philadelphia High School,19139,3417,Universal Charter Audenried,19145,6
2020-2021,1020,West Philadelphia High School,19139,4020,Overbrook High School,19131,60
2020-2021,1020,West Philadelphia High School,19139,4140,Strawberry Mansion High School,19121,4
2020-2021,1020,West Philadelphia High School,19139,5020,"Edison, Thomas A. High School",19140,3
2020-2021,1020,West Philadelphia High School,19139,5180,Vaux High School,19121,1
2020-2021,1020,West Philadelphia High School,19139,5700,Kensington High School,19125,3
2020-2021,1020,West Philadelphia High School,19139,6030,Roxborough High School,19128,5
2020-2021,1020,West Philadelphia High School,19139,6060,"King, Martin Luther High Sch.",19138,7
2020-2021,1020,West Philadelphia High School,19139,7010,Frankford High School,19124,3
2020-2021,1020,West Philadelphia High School,19139,7120,"Fels, Samuel High School",19124,1
2020-2021,1020,West Philadelphia High School,19139,8010,"Lincoln, Abraham High School",19136,4
2020-2021,1020,West Philadelphia High School,19139,8020,Northeast High School,19111,1
2020-2021,1020,West Philadelphia High School,19139,Data Not Available,Data Not Available,Data Not Available,3
2020-2021,1030,High School of the Future,19104,1010,"Bartram, John High School",19142,121
2020-2021,1030,High School of the Future,19104,1020,West Philadelphia High School,19139,33
2020-2021,1030,High School of the Future,19104,1100,"Sayre, William L. High School",19139,86
2020-2021,1030,High School of the Future,19104,2000,South Philadelphia H.S.,19148,17
2020-2021,1030,High School of the Future,19104,2010,"Franklin, Benjamin High School",19130,23
2020-2021,1030,High School of the Future,19104,2160,"Furness, Horace High School",19148,3
2020-2021,1030,High School of the Future,19104,3414,Aspira Olney Charter High,19120,19
2020-2021,1030,High School of the Future,19104,3416,Mastery Charter at Gratz,19140,42
2020-2021,1030,High School of the Future,19104,3417,Universal Charter Audenried,19145,12
2020-2021,1030,High School of the Future,19104,4020,Overbrook High School,19131,143
2020-2021,1030,High School of the Future,19104,4140,Strawberry Mansion High School,19121,69
2020-2021,1030,High School of the Future,19104,5020,"Edison, Thomas A. High School",19140,14
2020-2021,1030,High School of the Future,19104,5160,Penn Treaty High School,19125,6
2020-2021,1030,High School of the Future,19104,5180,Vaux High School,19121,20
2020-2021,1030,High School of the Future,19104,5700,Kensington High School,19125,14
2020-2021,1030,High School of the Future,19104,6030,Roxborough High School,19128,19
2020-2021,1030,High School of the Future,19104,6060,"King, Martin Luther High Sch.",19138,52
