"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2021-2022","Alternative","Innovation Network","High","8460","Phila Learning Academy South","355","N","75","0","0","-","-","0.00%"
"2021-2022","Alternative","Innovation Network","High","8470","Phila Learning Academy North","446","Y","45","0","0","-","-","0.00%"
"2021-2022","Alternative","Innovation Network","High","8540","Pennypack House School","-","-","56","0","0","-","-","0.00%"
"2021-2022","District","Innovation Network","High","8560","The Workshop School","256","N","225","0","0","-","-","0.00%"
"2021-2022","Alternative","Innovation Network","Middle-High","8690","Crossroads Accelerated Academy","894","Y","89","0","0","-","-","0.00%"
"2021-2022","District","Network 8","Elementary-Middle","8770","Hancock Demonstration School","957","N","648","726","503","0.89","69.28%","77.62%"
"2021-2022","District","Innovation Network","Middle-High","8780","Philadelphia Virtual Academy","-","-","1925","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","8860","One Bright Ray Mansion","-","-","152","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","8870","One Bright Ray Mansion Evening","-","-","149","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","8890","One Bright Ray - Simpson","-","-","267","0","0","-","-","0.00%"
"2021-2022","Non Public Special Education","Data is Private","Data is Private","Non Public Special Education","Non Public Special Education","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private"
