"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2021-2022","Charter","Charters","Middle-High","3383","Mastery Charter at Shoemaker","819","N","754","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3384","Folk Arts-Cultural Treasures","-","-","463","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3385","Mastery Charter at Thomas","567","N","1289","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3386","Northwood Charter School","-","-","759","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle-High","3388","Boys Latin of Phila Charter","-","-","778","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3389","Keystone Academy Charter","-","-","642","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3392","Southwest Leadership Academy","-","-","717","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle-High","3393","Mastery Charter at Pickett","1113","N","850","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3394","Pan American Academy Charter","-","-","734","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3395","Pantoja, Antonia Charter School","-","-","685","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3399","Sankofa Freedom Academy","-","-","661","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3403","Franklin Towne Elementary","-","-","932","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3404","Tacony Academy Charter School","-","-","1089","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle","3406","Aspira Charter at Stetson","1031","N","791","927","520","0.85","56.09%","65.74%"
"2021-2022","Charter","Charters","Elementary-Middle","3407","Mastery Charter at Harrity","850","N","809","1234","547","0.66","44.33%","67.61%"
"2021-2022","Charter","Charters","Elementary","3408","Mastery Charter at Mann","555","N","539","781","395","0.69","50.58%","73.28%"
"2021-2022","Charter","Charters","Elementary","3409","Mastery Charter at Smedley","730","N","759","964","501","0.79","51.97%","66.01%"
"2021-2022","Charter","Charters","Elementary","3410","Universal Charter Bluford","571","N","485","1122","396","0.43","35.29%","81.65%"
"2021-2022","Charter","Charters","Elementary-Middle","3411","Universal Charter Daroff","735","N","635","974","339","0.65","34.80%","53.39%"
"2021-2022","Charter","Charters","Elementary-Middle","3412","Mastery Charter at Frederick Douglass","994","N","625","682","293","0.92","42.96%","46.88%"
"2021-2022","Charter","Charters","High","3414","Aspira Olney Charter High","2045","N","1681","2825","702","0.60","24.85%","41.76%"
"2021-2022","Charter","Charters","Elementary","3415","Mastery Charter at Clymer","546","N","443","477","229","0.93","48.01%","51.69%"
"2021-2022","Charter","Charters","Middle-High","3416","Mastery Charter at Gratz","1666","N","1368","2126","330","0.64","15.52%","24.12%"
"2021-2022","Charter","Charters","High","3417","Universal Charter Audenried","705","N","544","1418","142","0.38","10.01%","26.10%"
"2021-2022","Charter","Charters","Middle","3418","Universal Charter Vare","425","Y","215","758","145","0.28","19.13%","67.44%"
"2021-2022","Charter","Charters","Elementary-Middle","3419","Lindley Academy Charter at Birney","750","N","738","721","326","1.02","45.21%","44.17%"
"2021-2022","Charter","Charters","Elementary-Middle","3420","Mastery Charter at Cleveland","745","Y","694","949","421","0.73","44.36%","60.66%"
"2021-2022","Charter","Charters","Elementary-Middle","3421","Universal Charter Creighton","835","N","703","978","542","0.72","55.42%","77.10%"
"2021-2022","Charter","Charters","Elementary-Middle","3422","Philadelphia Charter For Arts and Sciences","1015","N","1002","1561","808","0.64","51.76%","80.64%"
"2021-2022","Charter","Charters","Middle","3423","Memphis St. Charter at J.P. Jones","880","N","563","1963","493","0.29","25.11%","87.57%"
"2021-2022","Charter","Charters","Elementary-Middle","3424","Universal Charter Alcorn","620","N","526","1205","347","0.44","28.80%","65.97%"
"2021-2022","Charter","Charters","Elementary-Middle","3426","Mastery Charter at Pastorius","596","N","613","1129","455","0.54","40.30%","74.23%"
"2021-2022","Charter","Charters","Elementary","3427","Mastery Charter at Wister","516","Y","495","617","352","0.80","57.05%","71.11%"
"2021-2022","Charter","Charters","Elementary-Middle","3428","G.L.A. Charter at Huey","600","N","530","757","254","0.70","33.55%","47.92%"
"2021-2022","Charter","Charters","Elementary","3437","KIPP North Philadelphia Charter School","-","-","475","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3438","Deep Roots Charter School","-","-","380","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3439","Mastery Prep Elementary Charter School","-","-","466","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3440","Mast Community Charter II","-","-","1574","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3441","TECH Freire Charter School","-","-","511","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3442","Independence Charter West","-","-","776","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3443","KIPP West Phila Charter School","-","-","819","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3445","MAST III Charter School","-","-","1106","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3446","Philadelphia Hebrew Charter","-","-","336","0","0","-","-","0.00%"
"2021-2022","Charter","Cyber Charter","Other","3464","Aspira Bilingual Cyber","-","-","534","0","0","-","-","0.00%"
"2021-2022","Charter","Cyber Charter","Other","3468","Esperanza Cyber","-","-","873","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","3510","El Centro (Big Picture)","596","N","192","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","3540","Ombudsman Accelerated Northwest","-","-","58","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","3810","One Bright Ray - Elmwood Campus","-","-","154","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","Middle-High","3820","Camelot Academy East","-","-","2","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","3850","Northeast High School EOP","-","-","2","0","0","-","-","0.00%"
"2021-2022","District","Network 13","High","4020","Overbrook High School","2446","N","407","3494","289","0.12","8.27%","71.01%"
"2021-2022","District","Network 1","Middle-High","4030","Engineering & Science High","948","N","879","0","0","-","-","0.00%"
"2021-2022","District","Network 13","High","4060","Dobbins, Murrell High School","1200","N","1051","0","0","-","-","0.00%"
"2021-2022","District","Network 4","High","4140","Strawberry Mansion High School","1762","N","169","1931","125","0.09","6.47%","73.96%"
"2021-2022","District","Network 11","Elementary-Middle","4220","Blaine, James G. School","775","Y","369","564","274","0.65","48.58%","74.25%"
"2021-2022","District","Network 2","Elementary-Middle","4240","Cassidy, Lewis C Academics Plus","656","N","262","971","187","0.27","19.26%","71.37%"
"2021-2022","District","Network 11","Elementary-Middle","4270","Dick, William School","596","N","391","784","286","0.50","36.48%","73.15%"
"2021-2022","District","Network 2","Elementary-Middle","4280","Gompers, Samuel School","537","N","255","295","122","0.86","41.36%","47.84%"
"2021-2022","District","Acceleration Network","Elementary-Middle","4300","Heston, Edward School","636","Y","338","971","218","0.35","22.45%","64.50%"
"2021-2022","District","Network 2","Elementary-Middle","4320","Lamberton, Robert E Elementary","1323","N","334","598","201","0.56","33.61%","60.18%"
"2021-2022","District","Acceleration Network","Elementary-Middle","4350","Rhodes Elementary School","1386","N","408","1006","297","0.41","29.52%","72.79%"
"2021-2022","District","Network 11","Elementary-Middle","4360","Kenderton Elementary","795","N","394","535","199","0.74","37.20%","50.51%"
"2021-2022","District","Network 2","Elementary-Middle","4370","Overbrook Elementary School","437","N","192","428","149","0.45","34.81%","77.60%"
"2021-2022","District","Network 11","Elementary","4380","Peirce, Thomas M. School","656","N","256","655","216","0.39","32.98%","84.38%"
"2021-2022","District","Acceleration Network","Elementary-Middle","4440","Allen, Dr. Ethel School","676","Y","388","739","328","0.53","44.38%","84.54%"
"2021-2022","District","Network 11","Elementary-Middle","4460","Duckrey, Tanner School","676","N","487","896","321","0.54","35.83%","65.91%"
"2021-2022","District","Network 11","Elementary","4470","Wright, Richard R. School","636","Y","284","466","204","0.61","43.78%","71.83%"
"2021-2022","District","Network 2","Elementary-Middle","4480","Overbrook Educational Center","306","N","278","0","0","-","-","0.00%"
"2021-2022","District","Network 11","Elementary-Middle","4530","Gideon, Edward School","596","N","202","307","129","0.66","42.02%","63.86%"
"2021-2022","District","Network 11","Elementary-Middle","4560","Kelley, William D. School","676","Y","241","391","174","0.62","44.50%","72.20%"
"2021-2022","District","Network 3","Elementary-Middle","4570","Meade, Gen. George G. School","894","Y","309","565","215","0.55","38.05%","69.58%"
"2021-2022","District","Network 13","High","5020","Edison, Thomas A. High School","2218","Y","1025","2945","577","0.35","19.59%","56.29%"
"2021-2022","Alternative","Opportunity Network","Other","5031","Student Transition-Delinquent","-","-","14","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","Other","5032","Student Transition-Dependent","-","-","2","0","0","-","-","0.00%"
"2021-2022","District","Innovation Network","High","5050","Philadelphia Military Academy","600","N","380","0","0","-","-","0.00%"
"2021-2022","District","Network 4","High","5060","Mastbaum, Jules E. High School","1100","N","656","0","0","-","-","0.00%"
"2021-2022","District","Network 4","High","5070","Parkway-Northwest High School","300","N","254","0","0","-","-","0.00%"
"2021-2022","District","Network 1","High","5080","Parkway Center City Middle College High School","580","N","447","0","0","-","-","0.00%"
"2021-2022","District","Network 13","High","5090","Parkway West High School","1000","Y","274","0","0","-","-","0.00%"
"2021-2022","District","Network 1","High","5150","Bodine, William W. High School","639","N","606","0","0","-","-","0.00%"
