"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2019-2020","District","Network 10","Elementary-Middle","2640","Southwark School","815","Y","892","998","486","0.89","48.70%","54.48%"
"2019-2020","District","Innovation","High","2650","Science Leadership Academy","1464","Y","499","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","2670","Constitution High School","400","N","381","0","0",,,"0.00%"
"2019-2020","District","Innovation","Middle-High","2680","Science Leadership Academy at Beeber","900","N","602","0","0",,,"0.00%"
"2019-2020","District","Network 12","Elementary-Middle","2690","Taggart, John H. School","616","Y","456","789","340","0.58","43.09%","74.56%"
"2019-2020","District","Network 3","Elementary-Middle","2720","Vare-Washington Elementary","596","Y","372","609","232","0.61","38.10%","62.37%"
"2019-2020","Alternative","Opportunity","Middle","3040","Excel Middle Years Academy",,,"74","0","0",,,"0.00%"
"2019-2020","Alternative","Innovation","Elementary","3190","Crossroads at Hunting Park","446","Y","34","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3210","Ben Franklin High Schl EOP","1556","Y","118","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3240","Liguori Academy-Fortis",,,"97","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3290","Excel Academy South",,,"378","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3301","Community Academy Of Phila",,,"1228","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3302","Harambee Institute Of Science",,,"565","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3304","Youthbuild Phila. Charter",,,"243","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3306","Columbus, Christopher Charter",,,"952","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3307","De Hostos Charter School",,,"521","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3308","Inquiry Charter School",,,"273","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3309","Imhotep Charter School",,,"579","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3310","Lab Sch of Communication & Lang",,,"531","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3312","Multicultural Academy",,,"263","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3313","Preparatory Charter School",,,"631","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3314","West Oak Lane Charter School",,,"1041","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3315","Alliance For Progress Charter",,,"522","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3317","Architecture & Design Charter",,,"554","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle-High","3318","Freire Charter School",,,"1022","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3321","Math, Civics And Sciences",,,"1016","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3322","Philadelphia Academy",,,"1111","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3323","Mastery Charter at Hardy Williams","1071","N","1161","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3326","Universal Institute",,,"653","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3328","Math, Science And Technology",,,"1446","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle","3329","Young Scholars Charter School",,,"292","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3331","Franklin Towne Charter School",,,"1192","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3332","Bracetti, Mariana Academy",,,"1336","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3333","Esperanza Academy Charter School",,,"1630","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3334","New Foundations Charter School",,,"1554","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3335","People For People",,,"541","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3336","Phila Performing Arts: A String Theory",,,"2622","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3337","Global Leadership Academy",,,"690","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3341","Independence Charter School",,,"824","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3353","KIPP DuBois Charter School",,,"554","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3357","West Phila Achievement",,,"684","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3358","Phila Electrical & Technology",,,"602","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle","3359","Allen, Richard Prep",,,"473","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3360","Byers, Russell Charter",,,"704","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle-High","3361","Mastery Charter at Lenfest",,,"581","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3362","Wissahickon Charter School",,,"973","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3364","First Phila Prep",,,"1905","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3365","Green Woods Charter School",,,"683","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3366","Maritime Academy Charter",,,"870","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3368","Belmont Elementary Charter","815","N","964","573","370","1.68","64.57%","38.38%"
"2019-2020","Charter","Charters","Elementary-Middle","3370","KIPP Charter School",,,"867","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3372","Discovery Charter School",,,"595","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3378","Philadelphia Montessori",,,"200","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3379","Ad Prima Charter School",,,"693","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle-High","3383","Mastery Charter at Shoemaker","819","N","740","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3384","Folk Arts-Cultural Treasures",,,"503","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3385","Mastery Charter at Thomas","567","N","1313","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3386","Northwood Charter School",,,"768","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle-High","3388","Boys Latin of Phila Charter",,,"836","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3389","Keystone Academy Charter",,,"676","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3392","Southwest Leadership Academy",,,"707","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle-High","3393","Mastery Charter at Pickett","1113","N","895","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3394","Pan American Academy Charter",,,"762","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3395","Pantoja, Antonia Charter School",,,"719","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle","3396","KIPP West Phila Prep Charter","860","Y","348","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3399","Sankofa Freedom Academy",,,"677","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle","3403","Franklin Towne Elementary",,,"954","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary-Middle-High","3404","Tacony Academy Charter School",,,"1092","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Middle","3406","Aspira Charter at Stetson","1031","N","887","951","579","0.93","60.88%","65.28%"
"2019-2020","Charter","Charters","Elementary-Middle","3407","Mastery Charter at Harrity","850","N","823","1318","541","0.62","41.05%","65.74%"
"2019-2020","Charter","Charters","Elementary","3408","Mastery Charter at Mann","555","N","557","851","415","0.65","48.77%","74.51%"
"2019-2020","Charter","Charters","Elementary","3409","Mastery Charter at Smedley","730","N","795","1080","532","0.74","49.26%","66.92%"
"2019-2020","Charter","Charters","Elementary","3410","Universal Charter Bluford","571","N","531","1220","390","0.44","31.97%","73.45%"
"2019-2020","Charter","Charters","Elementary-Middle","3411","Universal Charter Daroff","735","N","732","1076","407","0.68","37.83%","55.60%"
"2019-2020","Charter","Charters","Elementary-Middle","3412","Mastery Charter at Frederick Douglass","994","N","679","716","333","0.95","46.51%","49.04%"
"2019-2020","Charter","Charters","High","3414","Aspira Olney Charter High","2045","N","1989","2747","772","0.72","28.10%","38.81%"
"2019-2020","Charter","Charters","Elementary","3415","Mastery Charter at Clymer","546","N","539","526","269","1.02","51.14%","49.91%"
"2019-2020","Charter","Charters","Middle-High","3416","Mastery Charter at Gratz","1666","N","1272","2082","272","0.61","13.06%","21.38%"
"2019-2020","Charter","Charters","High","3417","Universal Charter Audenried","705","N","535","1362","146","0.39","10.72%","27.29%"
"2019-2020","Charter","Charters","Middle","3418","Universal Charter Vare","425","Y","279","796","187","0.35","23.49%","67.03%"
"2019-2020","Charter","Charters","Elementary-Middle","3419","Lindley Academy Charter at Birney","750","N","726","786","385","0.92","48.98%","53.03%"
"2019-2020","Charter","Charters","Elementary-Middle","3420","Mastery Charter at Cleveland","745","Y","734","972","455","0.76","46.81%","61.99%"
"2019-2020","Charter","Charters","Elementary-Middle","3421","Universal Charter Creighton","835","N","741","1065","591","0.70","55.49%","79.76%"
"2019-2020","Charter","Charters","Elementary-Middle","3422","Philadelphia Charter For Arts and Sciences","1015","N","1030","1600","784","0.64","49.00%","76.12%"
"2019-2020","Charter","Charters","Middle","3423","Memphis St. Charter at J.P. Jones","880","N","723","2111","634","0.34","30.03%","87.69%"
"2019-2020","Charter","Charters","Elementary-Middle","3424","Universal Charter Alcorn","620","N","541","1287","348","0.42","27.04%","64.33%"
"2019-2020","Charter","Charters","Elementary-Middle","3426","Mastery Charter at Pastorius","596","N","620","1190","424","0.52","35.63%","68.39%"
"2019-2020","Charter","Charters","Elementary","3427","Mastery Charter at Wister","516","Y","522","615","357","0.85","58.05%","68.39%"
"2019-2020","Charter","Charters","Elementary-Middle","3428","G.L.A. Charter at Huey","600","N","618","891","335","0.69","37.60%","54.21%"
"2019-2020","Charter","Charters","Elementary","3437","KIPP North Philadelphia Charter School",,,"295","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3438","Deep Roots Charter School",,,"324","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3439","Mastery Prep Elementary Charter School",,,"329","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3440","Mast Community Charter II",,,"980","0","0",,,"0.00%"
"2019-2020","Charter","Charters","High","3441","TECH Freire Charter School",,,"509","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3442","Independence Charter West",,,"619","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3443","KIPP West Phila Charter School",,,"395","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3444","Chester Charter for the Arts",,,"10","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3445","MAST III Charter School",,,"888","0","0",,,"0.00%"
"2019-2020","Charter","Charters","Elementary","3446","Philadelphia Hebrew Charter",,,"156","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3458","Insight PA Cyber Charter",,,"540","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3459","Reach Cyber",,,"683","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3460","21st Century Cyber",,,"158","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3461","Achievement House",,,"90","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3462","ACT Academy Cyber",,,"25","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3463","Agora Cyber",,,"1704","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3464","Aspira Bilingual Cyber",,,"349","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3466","Commonwealth Connections Academy",,,"1797","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3468","Esperanza Cyber",,,"452","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3469","Pennsylvania Cyber",,,"681","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3470","Pennsylvania Distance Learning",,,"156","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3471","Pennsylvania Leadership",,,"554","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3472","Pennsylvania Virtual Charter",,,"486","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3473","SusQ-Cyber Charter",,,"2","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3474","Dr. Robert Ketterer Charter",,,"6","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3475","Chester Community Charter-East",,,"1589","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3476","Collegium Charter",,,"10","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3477","School Lane Charter",,,"204","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3478","Center for Student Learning",,,"16","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3479","Renaissance Academy Charter",,,"2","0","0",,,"0.00%"
"2019-2020","Charter","N/A","Other","3480","Vision Academy Charter",,,"30","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3510","El Centro (Big Picture)","596","N","231","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3540","Ombudsman Accelerated Northwest",,,"56","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3810","One Bright Ray - Elmwood Campus",,,"134","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","Middle-High","3820","Camelot Academy East",,,"58","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3840","Philadelphia OIC Workforce Academy",,,"118","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3850","Northeast High School EOP",,,"144","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3880","South Philadelphia HS - EOP","2498","Y","97","0","0",,,"0.00%"
"2019-2020","District","Network 13","High","4020","Overbrook High School","2446","N","473","3555","376","0.13","10.58%","79.49%"
"2019-2020","District","Network 1","Middle-High","4030","Engineering & Science High","948","N","907","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","4060","Dobbins, Murrell High School","1200","N","797","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","4140","Strawberry Mansion High School","1762","N","166","1758","114","0.09","6.48%","68.67%"
"2019-2020","District","Network 11","Elementary-Middle","4220","Blaine, James G. School","775","Y","407","526","284","0.77","53.99%","69.78%"
"2019-2020","District","Network 2","Elementary-Middle","4240","Cassidy, Lewis C Academics Plus","656","N","415","1047","286","0.40","27.32%","68.92%"
"2019-2020","District","Network 11","Elementary-Middle","4270","Dick, William School","596","N","465","831","364","0.56","43.80%","78.28%"
"2019-2020","District","Network 2","Elementary-Middle","4280","Gompers, Samuel School","537","N","289","323","136","0.89","42.11%","47.06%"
"2019-2020","District","Acceleration","Elementary-Middle","4300","Heston, Edward School","636","Y","433","1018","282","0.43","27.70%","65.13%"
"2019-2020","District","Network 2","Elementary-Middle","4320","Lamberton, Robert E Elementary","1323","N","416","664","249","0.63","37.50%","59.86%"
"2019-2020","District","Acceleration","Elementary-Middle","4350","Rhodes Elementary School","1386","N","479","999","354","0.48","35.44%","73.90%"
"2019-2020","District","Network 11","Elementary-Middle","4360","Kenderton Elementary","795","N","473","563","261","0.84","46.36%","55.18%"
"2019-2020","District","Network 2","Elementary-Middle","4370","Overbrook Elementary School","437","N","229","446","183","0.51","41.03%","79.91%"
"2019-2020","District","Network 11","Elementary","4380","Peirce, Thomas M. School","656","N","351","687","281","0.51","40.90%","80.06%"
"2019-2020","District","Acceleration","Elementary-Middle","4440","Allen, Dr. Ethel School","676","Y","467","759","362","0.62","47.69%","77.52%"
"2019-2020","District","Network 5","Elementary-Middle","4460","Duckrey, Tanner School","676","N","567","960","406","0.59","42.29%","71.60%"
"2019-2020","District","Network 5","Elementary","4470","Wright, Richard R. School","636","Y","351","489","265","0.72","54.19%","75.50%"
"2019-2020","District","Network 2","Elementary-Middle","4480","Overbrook Educational Center","306","N","285","0","0",,,"0.00%"
"2019-2020","District","Network 11","Elementary-Middle","4530","Gideon, Edward School","596","N","224","284","138","0.79","48.59%","61.61%"
"2019-2020","District","Network 11","Elementary-Middle","4560","Kelley, William D. School","676","Y","297","415","202","0.72","48.67%","68.01%"
"2019-2020","District","Network 3","Elementary-Middle","4570","Meade, Gen. George G. School","894","Y","344","531","219","0.65","41.24%","63.66%"
"2019-2020","District","Network 13","High","5020","Edison, Thomas A. High School","2218","Y","1077","2972","596","0.36","20.05%","55.34%"
"2019-2020","District","Innovation","High","5050","Philadelphia Military Academy","600","N","315","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","5060","Mastbaum, Jules E. High School","1100","N","631","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","5070","Parkway-Northwest High School","300","N","277","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","5080","Parkway Center City Middle College High School","580","N","487","0","0",,,"0.00%"
"2019-2020","District","Network 13","High","5090","Parkway West High School","1000","Y","321","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","5150","Bodine, William W. High School","639","N","601","0","0",,,"0.00%"
"2019-2020","District","Innovation","Middle-High","5160","Penn Treaty High School","1113","N","509","865","173","0.59","20.00%","33.99%"
"2019-2020","District","Network 3","Elementary-Middle","5170","De Burgos, J. Elementary","1093","N","830","647","440","1.28","68.01%","53.01%"
"2019-2020","District","Innovation","High","5180","Vaux High School","500","N","309","341","48","0.91","14.08%","15.53%"
"2019-2020","District","Network 3","Elementary-Middle","5200","Adaire, Alexander School","437","N","447","348","284","1.28","81.61%","63.53%"
"2019-2020","District","Network 5","Elementary-Middle","5210","Brown, Henry A. School","775","N","397","414","285","0.96","68.84%","71.79%"
"2019-2020","District","Network 5","Middle","5230","Conwell, Russell Middle School","483","N","328","0","0",,,"0.00%"
"2019-2020","District","Acceleration","Elementary-Middle","5250","Dunbar, Paul L. School","477","N","259","312","163","0.83","52.24%","62.93%"
"2019-2020","District","Network 11","Elementary","5260","Elkin, Lewis School","1014","N","677","951","624","0.71","65.62%","92.17%"
"2019-2020","District","Network 5","Elementary","5300","Hackett, Horatio B. School","596","N","356","303","197","1.17","65.02%","55.34%"
"2019-2020","District","Network 5","Elementary-Middle","5320","Hartranft, John F. School","676","N","470","701","390","0.67","55.63%","82.98%"
"2019-2020","District","Network 5","Elementary-Middle","5330","Hunter, William H. School","696","Y","571","504","374","1.13","74.21%","65.50%"
"2019-2020","District","Network 3","Elementary-Middle","5340","Ludlow, James R. School","596","N","270","366","170","0.74","46.45%","62.96%"
"2019-2020","District","Network 12","Elementary-Middle","5350","McKinley, William School","596","Y","413","519","314","0.80","60.50%","76.03%"
"2019-2020","District","Network 3","Elementary","5370","Moffet, John School","417","N","290","289","218","1.00","75.43%","75.17%"
"2019-2020","District","Acceleration","Elementary-Middle","5390","Potter-Thomas School","616","N","490","736","414","0.67","56.25%","84.49%"
"2019-2020","District","Network 5","Elementary","5400","Richmond School","556","N","510","860","479","0.59","55.70%","93.92%"
"2019-2020","District","Network 3","Elementary","5410","Sheppard, Isaac A. School","378","N","163","191","103","0.85","53.93%","63.19%"
"2019-2020","District","Network 5","Elementary-Middle","5420","Welsh, John School","755","N","333","402","232","0.83","57.71%","69.67%"
"2019-2020","District","Network 12","Middle","5430","AMY 5 at James Martin","504","N","425","0","0",,,"0.00%"
"2019-2020","District","Network 5","Elementary","5440","Willard, Frances E. School","775","N","673","753","531","0.89","70.52%","78.90%"
"2019-2020","District","Network 11","Elementary","5470","Cramp, William School","755","Y","479","613","432","0.78","70.47%","90.19%"
"2019-2020","District","Network 3","Elementary-Middle","5480","Kearny, Gen. Philip School","417","N","290","375","205","0.77","54.67%","70.69%"
"2019-2020","District","Network 11","Elementary","5490","Cayuga School","517","N","428","541","346","0.79","63.96%","80.84%"
"2019-2020","District","Network 7","Elementary-Middle","5500","Marshall, Thurgood School","835","Y","692","637","405","1.09","63.58%","58.53%"
"2019-2020","District","Network 4","High","5520","Kensington CAPA","542","N","522","0","0",,,"0.00%"
"2019-2020","District","Network 5","Elementary","5530","Sheridan, Philip H. School","936","N","550","799","498","0.69","62.33%","90.55%"
