"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2019-2020","District","Network 13","High","1010","Bartram, John High School","1706","N","545","3489","485","0.16","13.90%","88.99%"
"2019-2020","District","Network 13","High","1020","West Philadelphia High School","965","N","415","1204","145","0.34","12.04%","34.94%"
"2019-2020","District","Innovation","High","1030","High School of the Future","859","N","558","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","1050","Robeson, Paul High School","387","N","312","0","0",,,"0.00%"
"2019-2020","District","Network 13","High","1100","Sayre, William L. High School","882","N","410","2773","289","0.15","10.42%","70.49%"
"2019-2020","District","Network 10","Middle","1130","Tilden Middle School","1197","N","382","1698","326","0.22","19.20%","85.34%"
"2019-2020","District","Network 1","High","1190","Motivation High School","860","Y","374","0","0",,,"0.00%"
"2019-2020","District","Acceleration","Elementary-Middle","1200","Barry, John Elementary School","894","Y","574","1283","424","0.45","33.05%","73.87%"
"2019-2020","District","Acceleration","Elementary-Middle","1230","Bryant, William C. School","894","Y","424","842","305","0.50","36.22%","71.93%"
"2019-2020","District","Network 12","Elementary","1250","Catharine, Joseph School","676","N","456","679","383","0.67","56.41%","83.99%"
"2019-2020","District","Network 12","Elementary-Middle","1260","Comegys, Benjamin B. School","596","N","466","1052","384","0.44","36.50%","82.40%"
"2019-2020","District","Network 2","Elementary-Middle","1280","Penn Alexander School","542","N","571","706","559","0.81","79.18%","97.90%"
"2019-2020","District","Network 2","Elementary-Middle","1290","Hamilton, Andrew School","696","N","518","621","269","0.83","43.32%","51.93%"
"2019-2020","District","Network 12","Elementary-Middle","1300","Harrington, Avery D. School","616","N","475","897","273","0.53","30.43%","57.47%"
"2019-2020","District","Network 2","Elementary-Middle","1340","Lea, Henry C.","716","Y","536","369","222","1.45","60.16%","41.42%"
"2019-2020","District","Network 10","Elementary-Middle","1350","Longstreth, William C. School","735","Y","336","788","268","0.43","34.01%","79.76%"
"2019-2020","District","Acceleration","Elementary-Middle","1360","McMichael, Morton School","874","Y","345","560","227","0.62","40.54%","65.80%"
"2019-2020","District","Acceleration","Elementary-Middle","1370","Mitchell Elementary School","696","N","465","1005","394","0.46","39.20%","84.73%"
"2019-2020","District","Network 11","Elementary","1380","Morton, Thomas G. School","795","N","520","983","465","0.53","47.30%","89.42%"
"2019-2020","District","Network 2","Elementary","1390","Powel, Samuel School","199","N","243","182","120","1.34","65.93%","49.38%"
"2019-2020","District","Network 10","Elementary","1400","Patterson, John M. School","696","Y","459","965","419","0.48","43.42%","91.29%"
"2019-2020","District","Acceleration","Elementary-Middle","1410","Rhoads, James School","676","N","451","827","332","0.55","40.15%","73.61%"
"2019-2020","District","Network 2","Elementary-Middle","1420","Washington, Martha School","815","N","284","209","88","1.36","42.11%","30.99%"
"2019-2020","District","Network 10","Elementary-Middle","1440","Penrose School","1140","N","450","697","303","0.65","43.47%","67.33%"
"2019-2020","District","Network 2","Elementary-Middle","1460","Anderson, Add B. School","616","Y","464","852","327","0.54","38.38%","70.47%"
"2019-2020","District","Network 2","Elementary-Middle","1470","Locke, Alain School","676","N","442","787","295","0.56","37.48%","66.74%"
"2019-2020","District","Acceleration","Elementary-Middle","1490","Blankenburg, Rudolph School","596","Y","397","871","254","0.46","29.16%","63.98%"
"2019-2020","District","Network 2","Middle","1580","MYA-Middle Years Alternative","1000","Y","258","26","1","9.92","3.85%","0.39%"
"2019-2020","District","Network 13","High","2000","South Philadelphia H.S.","2498","Y","607","2300","268","0.26","11.65%","44.15%"
"2019-2020","District","Network 4","High","2010","Franklin, Benjamin High School","1464","Y","374","1308","110","0.29","8.41%","29.41%"
"2019-2020","District","Network 1","High","2020","Creative and Performing Arts","890","N","736","0","0",,,"0.00%"
"2019-2020","District","Innovation","Middle","2050","Science Leadership Academy MS","360","N","356","85","35","4.19","41.18%","9.83%"
"2019-2020","District","Network 1","Middle-High","2140","Masterman, Julia R. High School","1200","N","1206","0","0",,,"0.00%"
"2019-2020","District","Network 13","High","2160","Furness, Horace High School","1240","N","717","1411","319","0.51","22.61%","44.49%"
"2019-2020","District","Network 10","Elementary-Middle","2190","Fell, D. Newlin School","556","N","579","1121","389","0.52","34.70%","67.18%"
"2019-2020","District","Network 12","Elementary-Middle","2210","Bache-Martin School","894","Y","453","345","221","1.31","64.06%","48.79%"
"2019-2020","District","Network 12","Elementary-Middle","2240","Bregy, F. Amedee School","616","Y","324","472","23","0.69","4.87%","7.10%"
"2019-2020","District","Network 10","Elementary-Middle","2260","Childs, George W. School","1176","Y","508","679","329","0.75","48.45%","64.76%"
"2019-2020","District","Network 1","High","2290","Franklin Learning Center","963","N","912","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","Middle-High","2310","Camelot Academy","504","N","78","0","0",,,"0.00%"
"2019-2020","District","Network 12","Elementary","2320","Girard, Stephen School","497","N","390","941","328","0.41","34.86%","84.10%"
"2019-2020","District","Network 3","Elementary-Middle","2340","McCall, Gen. George A. School","596","N","691","904","657","0.76","72.68%","95.08%"
"2019-2020","District","Network 10","Elementary-Middle","2370","McDaniel, Delaplaine School","914","N","352","984","246","0.36","25.00%","69.89%"
"2019-2020","District","Network 3","Elementary-Middle","2380","Meredith, William M. School","477","N","538","563","466","0.96","82.77%","86.62%"
"2019-2020","District","Network 3","Elementary-Middle","2390","Morris, Robert School","795","N","236","520","183","0.45","35.19%","77.54%"
"2019-2020","District","Network 1","Middle-High","2410","Girard Academic Music Program","616","N","625","0","0",,,"0.00%"
"2019-2020","District","Network 12","Elementary-Middle","2450","Stanton, Edwin M. School","437","Y","301","473","198","0.64","41.86%","65.78%"
"2019-2020","District","Network 3","Elementary-Middle","2470","Greenfield, Albert M. School","676","N","685","604","521","1.13","86.26%","76.06%"
"2019-2020","District","Network 10","Elementary-Middle","2480","Arthur, Chester A. School","417","N","290","280","170","1.04","60.71%","58.62%"
"2019-2020","District","Network 3","Elementary-Middle","2490","Waring, Laura W. School","417","N","278","299","162","0.93","54.18%","58.27%"
"2019-2020","District","Network 10","Elementary-Middle","2510","Jackson, Andrew School","517","Y","569","682","433","0.83","63.49%","76.10%"
"2019-2020","District","Network 10","Elementary","2520","Jenks, Abram School","318","N","287","225","110","1.28","48.89%","38.33%"
"2019-2020","Alternative","Innovation","Middle-High","2530","Phila Juv Justice Svcs Ctr",,,"117","0","0",,,"0.00%"
"2019-2020","District","Network 10","Elementary","2540","Key, Francis Scott School","556","N","482","753","375","0.64","49.80%","77.80%"
"2019-2020","District","Network 10","Elementary-Middle","2580","Kirkbride, Eliza B. School","636","Y","533","699","431","0.76","61.66%","80.86%"
"2019-2020","District","Network 3","Elementary-Middle","2590","Nebinger, George W. School","517","Y","525","436","258","1.20","59.17%","49.14%"
"2019-2020","District","Network 1","High","2620","Academy at Palumbo","1067","N","1057","0","0",,,"0.00%"
"2019-2020","District","Network 10","Elementary-Middle","2630","Sharswood, George School","596","Y","472","478","178","0.99","37.24%","37.71%"
